question,answer,reference
What was the average life expectancy in the roman empire?,"The average life expectancy in the Roman Empire varied depending on factors such as social class, region, and access to healthcare. However, historians estimate that the average life expectancy in the Roman Empire was around 25 to 30 years old. This low average was largely due to high infant mortality rates, lack of medical knowledge and technology, and frequent wars and diseases. It's important to note that while some individuals did live into their 60s and 70s, the overall average was significantly lower than what we see in modern times.","Disambiguation 1. Question: What was the average life expectancy in the roman empire before infant mortality is factored out? Answer:25
Disambiguation 2. Question: What was the average life expectancy in the roman empire after infant mortality is factored out? Answer:late-50s
"
What is the name of the shortbread girl scout cookie?,"The name of the shortbread Girl Scout cookie is ""Trefoils.""","Disambiguation 1. Question: What is the name of the shortbread girl scout cookie with lemon icing? Answer:Lemonades
Disambiguation 2. Question: What is the name of the shortbread girl scout cookie made in the shape of the Girl Scout trefoil? Answer:Shortbread
Disambiguation 3. Question: What is the name of the shortbread girl scout cookie dipped in fudge? Answer:Thanks-A-Lot
Disambiguation 4. Question: What is the name of the discontinued shortbread girl scout cookie dipped in chocolate? Answer:The LBB version of Thanks-A-Lot
Disambiguation 5. Question: What is the name of the discontinued shortbread girl scout cookie with cinnamon topping? Answer:Cafe Cookies
Disambiguation 6. Question: What is the name of the discontinued shortbread girl scout cookie with embossed chalet picture? Answer:Chalet Creme
Disambiguation 7. Question: What is the name of the discontinued shortbread girl scout cookie with chocolate chips? Answer:Chocolate Chip Shortbread
Disambiguation 8. Question: What is the name of the discontinued shortbread girl scout cookie in two different flavors? Answer:Medallions
Disambiguation 9. Question: What is the name of the discontinued shortbread girl scout cookie with sprinkled sugar? Answer:Scot-Teas
"
Where does sniper ghost warrior 3 take place?,"Sniper Ghost Warrior 3 takes place in a modern-day Eastern European country called Georgia. The game features a vast open world environment with diverse landscapes including mountains, forests, and urban areas for players to explore and complete missions in.","Disambiguation 1. Question: Where does sniper ghost warrior 3's first mission to destroy a stockpile take place? Answer:Russian-Ukrainian border
Disambiguation 2. Question: Where does sniper ghost warrior 3 take place after the two year time skip? Answer:Republic of Georgia
"
What's donnas real name from that 70's show?,"Donna's real name from ""That '70s Show"" is Laura Prepon.","Disambiguation 1. Question: What's donnas full name from that 70's show? Answer:Donna Pinciotti
Disambiguation 2. Question: Who plays donna from that 70's show? Answer:Laura Prepon
"
When did the united states and britain become allies?,"The United States and Britain officially became allies during World War II, following the attack on Pearl Harbor by Japan in December 1941. Prior to this, the United States had maintained a policy of neutrality, but after the attack, President Franklin D. Roosevelt declared war on Japan and subsequently on Germany and Italy, who were allies of Japan. This marked the beginning of a strong alliance between the United States and Britain, as they fought together against the Axis powers.","Disambiguation 1. Question: When did the United States and Britain become trade allies? Answer:1783
Disambiguation 2. Question: When did the United States and Britain begin to become political allies? Answer:1895
"
Who plays maya on bold and the beautiful?,"Karla Mosley played the character of Maya Avant on the soap opera ""The Bold and the Beautiful."" She portrayed the role from 2013 to 2018.","Disambiguation 1. Question: Who played Maya Avant on the Bold and the Beautiful (TV serial)? Answer:Karla Moseley
Disambiguation 2. Question: Who played a one off character named Maya on October 21, 2012 on the Bold and the Beautiful (TV serial)? Answer:Karen Kim
"
When does the new maze runner 3 come out?,"The new Maze Runner movie, titled ""Maze Runner: The Death Cure,"" was released on January 26, 2018.","Disambiguation 1. Question: When does the new maze runner 3 film come out in the US? Answer:January 26, 2018
Disambiguation 2. Question: When does the new maze runner 3 film come out in Seoul? Answer:January 11, 2018
Disambiguation 3. Question: When does the new maze runner 3 book get published? Answer:11 October 2011
"
Who was involved in the ww1 christmas truce?,"The Christmas Truce during World War I involved soldiers from both the Allied and Central Powers. It is most famously associated with the British and German troops who participated in the unofficial ceasefire along the Western Front in 1914. However, there were also reports of similar truces involving French, Belgian, and other soldiers from various nations. The truce was a spontaneous and temporary cessation of hostilities, where soldiers from opposing sides came together to exchange gifts, sing carols, and even play football in no man's land.","Disambiguation 1. Question: Who was involved in the WWI Christmas truce of 2014 along the Western Front? Answer:100,000 British and German troops
Disambiguation 2. Question: Who was involved in the WWI Christmas truce of 2014 in the Comines sector of the front? Answer:German and French soldiers
Disambiguation 3. Question: Who was involved in the WWI Christmas truce of 2014 in the Eastern front? Answer:Austro-Hungarians and Russians
"
What is the name of india's first arctic research station setup?,"India's first Arctic research station is named ""Himadri.""","Disambiguation 1. Question: What is the name of india's first permanent arctic research station setup? Answer:Himadri
Disambiguation 2. Question: What is the name of india's first underwater arctic research station setup? Answer:IndARC
"
Where is the the great pacific garbage patch located?,"The Great Pacific Garbage Patch is located in the North Pacific Ocean, between Hawaii and California. It is a vast area of marine debris, primarily consisting of plastic waste, that has accumulated due to ocean currents and human pollution.","Disambiguation 1. Question: Where are the coordinates of the the great pacific garbage patch located? Answer:from 135°W to 155°W and 35°N to 42°N
Disambiguation 2. Question: What part of the ocean is the the great pacific garbage patch located? Answer:north central Pacific Ocean
"
