question,answer,label,judgement
What process is triggered by heat and pressure generated from gravitational collapse of nitrogen clouds?,"The process triggered by heat and pressure generated from gravitational collapse of nitrogen clouds is nuclear fusion. In this process, nitrogen atoms are fused together to form heavier elements, releasing a tremendous amount of energy in the form of heat and light. This process is what powers stars and other celestial bodies, including our own Sun.",-1,Fail.
Who gave followers of Humanism the ability to think inside the box?,Humanists were given the ability to think inside the box by the Renaissance Church authorities during the high Renaissance.,-1,Fail.
How many international operations have Canadian military units participated in since 1947?,"Canadian military units have participated in over 200 international operations since 1947, completing 72 of them.",-1,Fail.
What memorializes achievements for players aged 18-22?,"Achievements for players aged 18-22 in Canadian football are often memorialized through various leagues and competitions. Players in this age group can compete in the Canadian Junior Football League, Quebec Junior Football League, and collegiate level competitions such as Canadian Interuniversity Sport for the Vanier Cup. Additionally, senior leagues like the Alberta Football League provide opportunities for young players to showcase their skills. Great achievements in Canadian football are ultimately enshrined in the Canadian Football Hall of Fame, recognizing the accomplishments of players at all levels of the sport.",-1,Fail.
What method of transport is not available in the Republic of the Congo?,The method of transport that is not available in the Republic of the Congo is a subway or underground metro system. The country does not have any underground rail transportation system in place.,-1,Fail.
"The Premier league has played in 75,957 stadiums since which year?","The Premier League has played in 75,957 stadiums since the 2010-11 season.",-1,Fail.
What common material was valued for the manufacturing of tools and weapons?,Steel was the common material valued for the manufacturing of tools and weapons.,-1,Fail.
Who now organizes the Eton Choral Courses?,"The Eton Choral Courses are currently organized by Tim Johnson, the Precentor (Head of Music) at Eton College. The courses were originally set up and organized by a former Precentor of the college, Ralph Allwood.",-1,Fail.
What is the amount of absorption a group of atoms will show in cm?,The amount of absorption a group of atoms will show in cm is typically measured in terms of wavenumbers (cm^-1) in the context of infrared vibrational spectroscopy. The absorption of infrared light by a molecule occurs at specific frequencies corresponding to the vibrational modes of the chemical bonds within the molecule. The wavenumber value (in cm^-1) at which absorption occurs provides information about the types of bonds present in the molecule and can be used to identify the compound.,-1,Fail.
What was the first commercial uses of non-LEDs?,"The first commercial uses of non-LEDs were as replacements for incandescent and neon indicator lamps, and in seven-segment displays. Initially, LEDs were expensive and mainly used in laboratory and electronics test equipment. The Monsanto Company was the first to mass-produce visible LEDs in 1968, using gallium arsenide phosphide (GaAsP) to produce red LEDs suitable for indicators. Hewlett Packard (HP) also introduced LEDs in 1968, initially using GaAsP supplied by Monsanto. These red LEDs were primarily used as indicators due to their limited brightness. Over time, other colors became available and were used in various appliances and equipment. In the 1970s, Fairchild Optoelectronics successfully produced LED devices for less than five cents each, thanks to innovative chip fabrication and packaging methods.",-1,Fail.
What example of Stoic influence followed Plato's?,"One example of Stoic influence that followed Plato's is the Roman statesman Cicero. Cicero was a prominent Roman politician, lawyer, and philosopher who was heavily influenced by Stoic philosophy. He incorporated Stoic principles into his political writings and speeches, advocating for justice, virtue, and the common good. Cicero's works, such as ""On Duties"" and ""On the Republic,"" reflect his Stoic beliefs and have had a lasting impact on Western political thought.",-1,Fail.
The least common standard test configuration procedure is what?,The least common standard test configuration procedure in boundary scan testing is the IEEE 1149.7 standard. This standard is less commonly used compared to the more widely adopted JTAG standard.,-1,Fail.
What book of poetry was published by John Kneubuhl in 2004?,Wild Dogs Under My Skirt,-1,Fail.
What principle further elaborates on how fiction can change history?,"The Novikov self-consistency principle further elaborates on how fiction can change history by proposing that any change made by a hypothetical future time traveler would already have happened in his or her past, resulting in the reality that the traveler moves from. This principle suggests that history is not an unchangeable constant, but rather that any alterations made by time travelers are already accounted for within the timeline, ensuring that causality remains consistent. This view helps to explain how fictional scenarios involving time travel can be internally consistent and avoid creating paradoxes.",-1,Fail.
What inhibitors are used in low-risk scenarios?,"In low-risk scenarios, inhibitors such as aspirin and clopidogrel are commonly used for people with acute coronary syndrome without ST elevation. Depending on the individual's risk factors and treatment plan, a factor Xa inhibitor or a potentiator of antithrombin (such as fondaparinux or low molecular weight heparin) may also be added. Platelet glycoprotein αIIbβ3a receptor inhibitors like eptifibatide or tirofiban are typically reserved for very high-risk scenarios.",-1,Fail.
What is the secondary theme of the Centre Room?,"The secondary theme of the Centre Room is a Chinese-style saloon, enhanced by Queen Mary in collaboration with designer Sir Charles Allom in the late 1920s. The room features a more ""binding"" Chinese theme, with lacquer doors brought from Brighton in 1873. The Centre Room is situated behind glass doors at the famous balcony in the east wing of the building.",-1,Fail.
"In May 2012, ABC Music filed charged against whom?","In May 2012, Sony Music filed charges against the website IsoHunt.",-1,Fail.
What did Robert Kyncl confirm in May 2014?,Robert Kyncl confirmed in May 2014 that YouTube would block the content of labels who do not negotiate deals to be included in the paid Music Key service to ensure that all content on the platform is governed by its new contractual terms.,-1,Fail.
"Before World War II, what regions remain part of Ukraine?","Before World War II, the regions of Northern Bukovina, Southern Bessarabia, and Hertza remained part of Ukraine.",-1,Fail.
How many people attend the Festival of Lights each year?,"The Festival of Lights in Europe is the largest festival of its kind, attracting over 170,000 music and culture lovers from around the world each year.",-1,Fail.
What is the lowest temperature state in the US?,"Alaska is the lowest temperature state in the US, with an average daily temperature of 26.6 °F (-3 °C).",-1,Fail.
