question,answer,reference,label,judgement
"Quarterback Aaron Rodgers suffered a season-ending injury this week, devastating many football fans. Which NFL team is he currently a part of?",Aaron Rodgers is currently a part of the New York Jets.,New York Jets,1,Pass.
How many of the six planned central towers on Barcelona's unfinished Sagrada Familia cathedral have now been completed?,Four out of the six planned central towers on Barcelona's unfinished Sagrada Familia cathedral have now been completed.,5,-1,Fail.
Who won this year's Nobel Peace Prize?,"The jailed Iranian women's rights activist, who fought against the oppression of women in the country and promoted human rights and freedom for all, was awarded this year's Nobel Peace Prize.",Narges Mohammadi,1,Pass.
A lottery ticket sold in which state won Tuesday’s $1.58 billion Mega Millions jackpot?,The winning ticket for Tuesday's $1.58 billion Mega Millions jackpot was sold in Florida.,Florida,1,Pass.
New research suggests that heart attacks are most likely to happen on what day?,"Heart attacks are most likely to happen on Mondays, according to the new research conducted in Ireland.",Monday,1,Pass.
Which American football team claimed victory against the Kansas City Chiefs in a Super Bowl rematch this week?,The Philadelphia Eagles claimed victory against the Kansas City Chiefs in a Super Bowl rematch this week.,Philadelphia Eagles,1,Pass.
"In 1803, the US purchased the Louisiana Territory from which country?",The US purchased the Louisiana Territory from France in 1803.,France,1,Pass.
Which awards show aired this week on the heels of diversity and ethics controversies?,"The Golden Globe Awards aired this week, marking its return to TV after facing diversity and ethics controversies that led to the ceremony being off the air last year.",Golden Globe Awards,1,Pass.
Which company unveiled a new AI chatbot tool dubbed “Bard” in an apparent bid to compete with the viral success of ChatGPT?,"Google unveiled a new AI chatbot tool called ""Bard"" in response to the viral success of ChatGPT.",Google,1,Pass.
When the weather warms up it’s time for a cookout! How many hot dogs do Americans consume each year?,"Americans consume as many as 20 billion hot dogs per year, according to estimates from the National Hot Dog & Sausage Council.",20 billion,1,Pass.
A powerful cyclone hit Myanmar this week. What was its name?,The powerful cyclone that hit Myanmar this week was named Cyclone Mocha.,Cyclone Mocha,1,Pass.
Saudi Arabian football club Al Hilal put in a record £259 million transfer bid for which French player?,Kylian Mbappé,Kylian Mbappé,1,Pass.
"Which Covid-19 variant of Omicron has become the most dominant in the US, causing the most new coronavirus cases?","The XBB.1.5 subvariant of Omicron has become the most dominant in the US, causing the most new coronavirus cases.",XBB.1.5,1,Pass.
"A Chinese food blogger was fined the equivalent of £15,000 for eating which sea creature?",The Chinese food blogger was fined for eating a great white shark.,Great white shark,1,Pass.
"Which type of products were removed from Target, Rite Aid, and CVS this week due to bacterial concerns?","Eye drop products were removed from Target, Rite Aid, and CVS this week due to bacterial concerns.",Eye drops,1,Pass.
"A deep-sea submersible captured international attention when it went missing in the North Atlantic Ocean. Days later, authorities said the sub had suffered a “catastrophic implosion” and all five people onboard were killed. What was the sub’s name?",The sub's name was the Titan sub.,Titan,1,Pass.
