question,answer
What single type of rock formed Greenstone belts?,The single type of rock that formed Greenstone belts is volcanic rocks.
"Besides parking requirements, what land use regulations does Texas have?","In addition to parking requirements, Texas has land use regulations such as mandatory lot size for single-family houses and requirements for parking availability to tenants and customers."
What title is given to the newest member of the order of cardinal priests?,The title given to the newest member of the order of cardinal priests is cardinal protopriest.
Who created the Avengers?,The Avengers were created by writer-editor Stan Lee and artist Jack Kirby.
When was FLNG technology created?,"FLNG technology was created in the mid-20th century, with the world's first floating liquefied natural gas (FLNG) facility being finalized by Royal Dutch Shell in 2011."
What company was dissolved before the Indian Rebellion?,The British East India Company was dissolved before the Indian Rebellion.
What kind of vowels have no distinction in Old English?,Diphthongs
When did ITU-R start trying to work towards setting a single international DVD standard?,ITU-R started trying to work towards setting a single international DVD standard in 1983.
What is the official name of the Red Book?,The official name of the Red Book is Compact Disc Digital Audio (CD-DA).
Which languages are not considered to be related to the Italian Tuscon language?,"The languages that are not considered to be related to the Italian Tuscan language are Sardinian, Ligurian, and Catalan Algherese dialect."
Why does Windows RT only work with apps excluded with the system?,"Windows RT only works with apps that are specifically designed for the ARM architecture to ensure optimal performance and compatibility. This restriction is in place to prevent the system from running applications that are not optimized for the ARM architecture, such as IA-32 or x64 applications. Apps for Windows RT can be obtained through Windows Update or the Windows Store, where they are vetted to ensure compatibility with the system."
"Under the Parliament Acts of 1917 and 1949, the House of Commons may do what?","Under the Parliament Acts of 1917 and 1949, the House of Commons may override the House of Lords and pass a bill into law without the Lords' approval, under certain circumstances."
 Which year was used for estimates in the 2004 report?,The estimates used in the 2004 report were for the year 2003.
Through what process is it thought that the first architectural achievements were not made?,"It is thought that the first architectural achievements were not made through a formalized design process, but rather through a process of trial and error, with progressively less trial and more replication as successful results were achieved."
What are parts of the Upper Moravia sometimes considered?,"Parts of the Upper Moravia are sometimes considered Czechs, Moravians, Carpatho-Ruthenians, Ukrainians, Belarusians, Poles, and Silesians."
How many corps did the Byzantines have?,"The Byzantines had five corps: the centre, two wings, vanguards, and rearguards."
Which European chef is The 1845 Room named after?,The 1845 Room is named after the French chef Alexis Soyer.
