question,answer,label,judgement
"What is the name of the cheese dubbed the ""world's smelliest"" set to cause a stink in UK supermarkets?",Epoisses de Bourgogne,-1,Fail.
Which iconic 1990s children’s toy is set to be relaunched?,The iconic 1990s children's toy set to be relaunched is the Tamagotchi virtual pet.,-1,Fail.
Newly released figures show that the amount of electricity produced by which type of renewable energy hit a record high in Britain last year?,Wind power,-1,Fail.
West Virginia announced an $87 million settlement with which company for its role in perpetuating the opioid crisis in the state?,McKesson Corporation,-1,Fail.
Which country was named the world’s happiest for the sixth year in a row?,Finland,-1,Fail.
Syracuse men’s basketball coach Jim Boheim retired this week after 47 years at the helm. How many times did he lead his team to the Final Four?,Jim Boeheim led Syracuse to the Final Four five times during his coaching career.,-1,Fail.
Which state said “yes” to making abortion a constitutional right?,"The state that said ""yes"" to making abortion a constitutional right was California.",-1,Fail.
Donald Trump’s 2024 pitch includes a promise to do what?,"Donald Trump's 2024 pitch includes a promise to ""Make America Great Again"" and continue his America First agenda.",-1,Fail.
"What is the primary time frame for the ""bed bug season""?","The primary time frame for the ""bed bug season"" is typically during the warmer months of the year, from spring to early fall. This is when bed bugs are most active and tend to reproduce more rapidly.",-1,Fail.
Which lawmaker was ousted from his role as speaker of the US House of Representatives?,John Boehner was ousted from his role as speaker of the US House of Representatives.,-1,Fail.
What organization owned and occupied the Elwyn building before it was purchased by the Delaware Affordable Housing Group?,The Elwyn building was owned and occupied by the Elwyn organization before it was purchased by the Delaware Affordable Housing Group.,-1,Fail.
Which social media platform expanded its link-sharing feature this week?,Twitter expanded its link-sharing feature this week.,-1,Fail.
"The Writers Guild of America, which represents many Hollywood scribes, went on strike this week. They last hit the picket lines in what year?",The Writers Guild of America last went on strike in 2007-2008.,-1,Fail.
"Hundreds of people were arrested in which country after government buildings in its capital city were attacked, vandalized and looted on Jan. 8?",Uganda,-1,Fail.
Wembley Stadium celebrated what landmark event this week?,Wembley Stadium celebrated its 100th anniversary this week.,-1,Fail.
"What prompted the closure of Fordham and Dominion Brewing, one of the oldest and largest breweries in Delaware?","The closure of Fordham and Dominion Brewing was prompted by declining sales and financial difficulties, as well as increased competition in the craft beer industry. The brewery struggled to keep up with changing consumer preferences and faced challenges in distribution and marketing. Ultimately, these factors led to the decision to close the brewery in 2019.",-1,Fail.
Which football conference will Delaware be joining in 2025 after moving up to the Football Bowl Subdivision (FBS)?,Delaware will be joining the American Athletic Conference (AAC) in 2025 after moving up to the Football Bowl Subdivision (FBS).,-1,Fail.
"Which foreign leader told their party ""I, too, am human"" after taking a day off?","Japanese Prime Minister Shinzo Abe told his party ""I, too, am human"" after taking a day off due to fatigue in 2007.",-1,Fail.
"The Mega Millions jackpot was won in back-to-back drawings, with the winning purchased tickets in which states?",The winning purchased tickets were in California and Wisconsin.,-1,Fail.
Who won this year's Nobel Peace Prize?,"The 2021 Nobel Peace Prize was awarded to journalists Maria Ressa of the Philippines and Dmitry Muratov of Russia for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace.",-1,Fail.
Which public figure will plead guilty to federal tax charges?,It is not appropriate to speculate on specific individuals who may plead guilty to federal tax charges without confirmed information.,1,Pass.
"Which broadcaster suspended commentator Laurence Fox for making ""totally inappropriate"" comments about a female journalist?",TalkRadio,-1,Fail.
The total number of women on this year’s Booker Prize shortlist is fewer than the tally of male nominees who share which first name?,"The total number of women on this year's Booker Prize shortlist is fewer than the tally of male nominees who share the first name ""David.""",-1,Fail.
"How many people will get a universal basic income (UBI) of £1,600 a month in a proposed trial in England?","In the proposed trial in England, 100 residents will receive a universal basic income (UBI) of £1,600 a month.",-1,Fail.
The European Space Agency wants to give which celestial body its own time zone?,The European Space Agency wants to give Mars its own time zone.,-1,Fail.
Which national holiday was celebrated this week?,"This week, the national holiday celebrated was Thanksgiving in the United States.",-1,Fail.
What significant change has occurred in the sale of Delaware surf-fishing permits for 2024?,"The significant change in the sale of Delaware surf-fishing permits for 2024 is that they will now be available for purchase online, making it more convenient for anglers to obtain their permits.",-1,Fail.
Which European city is launching a “Stay Away” campaign to deter Brits from visiting?,Amsterdam,-1,Fail.
America’s banking system was widely impacted this week by which issue?,"The issue that widely impacted America's banking system this week was the outage of the Federal Reserve's payment system, known as Fedwire, which disrupted electronic transfers and other financial transactions for several hours.",-1,Fail.
Former president Donald Trump pleaded not guilty to how many felony counts of falsifying business records when he appeared in a New York court this week?,Former president Donald Trump pleaded not guilty to 15 felony counts of falsifying business records when he appeared in a New York court this week.,-1,Fail.
A pair of basketball shoes worn by which athlete recently became the most expensive sneakers ever to sell at auction?,The pair of basketball shoes worn by Michael Jordan recently became the most expensive sneakers ever to sell at auction.,-1,Fail.
Which country recently banned solo hiking at its national parks for safety reasons?,South Korea,-1,Fail.
Why was the latest Panera Charged Lemonade lawsuit filed in Delaware?,"The latest Panera Charged Lemonade lawsuit was filed in Delaware because Panera Bread Company is incorporated in Delaware, making it the appropriate jurisdiction for legal matters involving the company. Delaware is a popular choice for incorporation due to its business-friendly laws and well-established legal system.",-1,Fail.
The World Health Organization recently warned of a “huge biological risk” after a laboratory was seized by fighters in which country?,"The World Health Organization recently warned of a ""huge biological risk"" after a laboratory was seized by fighters in Ukraine.",-1,Fail.
Which public figure filed paperwork this week to run for president in 2024?,"Dwayne ""The Rock"" Johnson filed paperwork this week to run for president in 2024.",-1,Fail.
The Doomsday Clock moved to how many seconds to midnight?,The Doomsday Clock moved to 100 seconds to midnight.,-1,Fail.
All these MLB teams reportedly agreed to a contract with shortstop Carlos Correa this offseason except:,The New York Yankees,-1,Fail.
Which American football team was left out of the 2023 College Football Playoffs despite being undefeated this season?,The University of Southern California (USC) Trojans were left out of the 2023 College Football Playoffs despite being undefeated this season.,-1,Fail.
Who is now CEO of OpenAI following Sam Altman's sacking from the role last week?,Ilya Sutskever is now the CEO of OpenAI following Sam Altman's departure from the role.,-1,Fail.
What is the name of the BBC's controversial new drama about Jimmy Savile?,"The name of the BBC's controversial new drama about Jimmy Savile is ""The Reckoning.""",-1,Fail.
Which country experienced a nationwide power outage this week?,Pakistan experienced a nationwide power outage this week.,-1,Fail.
What is the name of Joe Biden’s dog who is in the doghouse for repeatedly biting Secret Service agents?,Major,-1,Fail.
Which former England international footballer-turned-manager has inspired a new play?,Bobby Robson,-1,Fail.
"What addition is Capriotti's making to its legendary flagship sandwich, The Bobbie, for the first time?",Capriotti's is adding cranberry sauce to The Bobbie for the first time.,-1,Fail.
Which state is investigating robotaxi collisions after a handful of incidents recently endangered pedestrians?,California,-1,Fail.
"More than 100 reports of hail were recorded in the South and Upper Midwest this week amid raging storms. According to officials, some of the largest hail was the size of which item?","According to officials, some of the largest hail was the size of baseballs.",-1,Fail.
Kylie Jenner has angered animal rights activists by wearing a dress adorned with a lion’s head that was designed by who?,Kylie Jenner angered animal rights activists by wearing a dress adorned with a lion's head that was designed by Versace.,-1,Fail.
YouTube legend MrBeast is facing criticism for doing what in his latest online stunt?,"MrBeast is facing criticism for planting 20 million trees as part of his latest online stunt, as some environmentalists argue that the project is not as beneficial as it may seem and that it could potentially harm ecosystems.",-1,Fail.
Elon Musk told advertisers fleeing his social media platform X (formerly Twitter) to do what?,"Elon Musk told advertisers fleeing his social media platform X to ""go ahead"" and leave.",-1,Fail.
Who was criticised for saying Brits need to accept being “worse off” financially?,"Former Chancellor of the Exchequer, George Osborne, was criticized for saying Brits need to accept being ""worse off"" financially due to the economic impact of Brexit.",-1,Fail.
ESPN apologized for airing footage during the broadcast of a game between the Miami Heat and the New York Knicks that showed what?,"During the broadcast of the game between the Miami Heat and the New York Knicks, ESPN aired footage of Knicks player Mitchell Robinson's gruesome ankle injury. ESPN later apologized for showing the graphic footage.",-1,Fail.
"According to internal documents reported this week, what measure is United Airlines planning to introduce this month to speed up the boarding of passengers?","United Airlines is planning to introduce a new boarding process called ""pre-boarding"" this month to speed up the boarding of passengers.",-1,Fail.
What was the name of the country music festival where the deadliest mass shooting in American history occurred?,"The deadliest mass shooting in American history occurred at the Route 91 Harvest music festival in Las Vegas, Nevada.",-1,Fail.
Prince Harry and Meghan’s daughter will be known by which royal title?,"The daughter of Prince Harry and Meghan will be known as Lilibet ""Lili"" Diana Mountbatten-Windsor.",-1,Fail.
Residents in which country moved their clocks forward last weekend to Daylight Saving Time for the last time?,Residents in the European Union moved their clocks forward last weekend to Daylight Saving Time for the last time.,-1,Fail.
"Which Satellite TV provider was hit with a $150,000 fine for failing to properly dispose of one of its satellites in space?","DirecTV was hit with a $150,000 fine for failing to properly dispose of one of its satellites in space.",-1,Fail.
New polling data suggests that what percentage of 18- to 24-year-olds in the UK want to replace the monarchy with an elected head of state?,"According to the new polling data, 41% of 18- to 24-year-olds in the UK want to replace the monarchy with an elected head of state.",-1,Fail.
Which MLB team won the World Series this week?,The Atlanta Braves won the World Series this week.,-1,Fail.
"Which member of the UK shadow cabinet branded Suella Braverman as ""out of control"" after the home secretary publicly criticised the Met Police?","Nick Thomas-Symonds, the shadow home secretary, branded Suella Braverman as ""out of control"" after she publicly criticised the Met Police.",-1,Fail.
What beverage was once popular and synonymous with Juneteenth celebrations?,"Red soda water, also known as red drink or red pop, was once popular and synonymous with Juneteenth celebrations.",-1,Fail.
Latest analysis by Reporters Without Borders (RSF) found that which country ranks lowest for press freedom?,North Korea ranks lowest for press freedom according to the latest analysis by Reporters Without Borders (RSF).,-1,Fail.
"Taylor Swift and Beyoncé dominated the entertainment headlines, thanks to their blockbuster worldwide tours and concert films released in theaters. Beyoncé also set a record for the most Grammy Awards. How many has she won?",Beyoncé has won a total of 28 Grammy Awards.,-1,Fail.
Which pop icon will embark on her 40th anniversary tour this year?,Madonna,-1,Fail.
"After 35 years, the curtain fell for the final time on Broadway's longest-running musical this week. What is the show called?","The show is called ""The Phantom of the Opera.""",-1,Fail.
What type of agreement was reached between dozens of countries this week?,A global agreement was reached between dozens of countries this week to implement a minimum corporate tax rate of 15% to prevent multinational corporations from avoiding taxes by shifting profits to low-tax jurisdictions.,-1,Fail.
"A French woman named Lucile Randon, believed to be the world’s oldest person, died this week. What age was she?"," Lucile Randon, also known as Sister André, was 117 years old when she passed away.",-1,Fail.
"Third baseman Scott Rolen was the lone player elected to the Baseball Hall of Fame this year. He played for five MLB teams, including the:","Philadelphia Phillies, St. Louis Cardinals, Toronto Blue Jays, Cincinnati Reds, and the New York Yankees.",-1,Fail.
Which of the following bands will reportedly headline King Charles’s coronation concert?,The Rolling Stones,-1,Fail.
True or false: Travelers from China to the U.S. are no longer required to present a negative COVID-19 test before boarding their flights.,False. Travelers from China to the U.S. are still required to present a negative COVID-19 test before boarding their flights.,-1,Fail.
Which European royal was accused of infidelity with her former brother-in-law?,"Queen Victoria of Spain was accused of infidelity with her former brother-in-law, Alfonso XII of Spain.",-1,Fail.
"After being expelled for leading gun-reform protests on the chamber floor, two Black Democratic lawmakers from which state were reappointed?",Two Black Democratic lawmakers from the state of Tennessee were reappointed after being expelled for leading gun-reform protests on the chamber floor.,-1,Fail.
Which actor paid tribute to Karl Lagerfeld by wearing a giant fluffy cat costume to the 2023 Met Gala?,Timothée Chalamet paid tribute to Karl Lagerfeld by wearing a giant fluffy cat costume to the 2023 Met Gala.,-1,Fail.
Which North African country was inundated with catastrophic flooding this week?,Algeria,-1,Fail.
Which cabinet minister now has the highest approval rating from Tory members following Ben Wallace’s resignation as defence minister?,"Liz Truss, the Foreign Secretary, now has the highest approval rating from Tory members following Ben Wallace's resignation as defence minister.",-1,Fail.
