question,answer,reference,label,judgement
"Quarterback Aaron Rodgers suffered a season-ending injury this week, devastating many football fans. Which NFL team is he currently a part of?",Aaron Rodgers is currently a part of the New York Jets.,New York Jets,1,Pass.
How many of the six planned central towers on Barcelona's unfinished Sagrada Familia cathedral have now been completed?,"As of now, two out of the six planned central towers on Barcelona's unfinished Sagrada Familia cathedral have been completed.",5,-1,Fail.
Who won this year's Nobel Peace Prize?,This year's Nobel Peace Prize was awarded to the jailed Iranian women's rights activist for her fight against the oppression of women in the country and her efforts in promoting human rights and freedom for all.,Narges Mohammadi,1,Pass.
A lottery ticket sold in which state won Tuesday’s $1.58 billion Mega Millions jackpot?,The lottery ticket that won Tuesday's $1.58 billion Mega Millions jackpot was sold in Florida.,Florida,1,Pass.
New research suggests that heart attacks are most likely to happen on what day?,"According to the new research mentioned in the question, heart attacks are most likely to happen on Mondays.",Monday,1,Pass.
Which American football team claimed victory against the Kansas City Chiefs in a Super Bowl rematch this week?,The Philadelphia Eagles claimed victory against the Kansas City Chiefs in a Super Bowl rematch this week.,Philadelphia Eagles,1,Pass.
"In 1803, the US purchased the Louisiana Territory from which country?","In 1803, the US purchased the Louisiana Territory from France.",France,1,Pass.
Which awards show aired this week on the heels of diversity and ethics controversies?,The awards show that aired this week on the heels of diversity and ethics controversies was the Golden Globe Awards.,Golden Globe Awards,1,Pass.
Which company unveiled a new AI chatbot tool dubbed “Bard” in an apparent bid to compete with the viral success of ChatGPT?,"Google unveiled a new AI chatbot tool called ""Bard"" in an apparent attempt to compete with the viral success of ChatGPT.",Google,1,Pass.
When the weather warms up it’s time for a cookout! How many hot dogs do Americans consume each year?,"According to estimates from the National Hot Dog & Sausage Council, Americans consume as many as 20 billion hot dogs per year.",20 billion,1,Pass.
A powerful cyclone hit Myanmar this week. What was its name?,The name of the powerful cyclone that hit Myanmar this week was Cyclone Mocha.,Cyclone Mocha,1,Pass.
Saudi Arabian football club Al Hilal put in a record £259 million transfer bid for which French player?,The French player that Al Hilal put in a record £259 million transfer bid for is Kylian Mbappé.,Kylian Mbappé,1,Pass.
"Which Covid-19 variant of Omicron has become the most dominant in the US, causing the most new coronavirus cases?","The most dominant Covid-19 variant of Omicron in the US causing the most new coronavirus cases is the XBB.1.5 subvariant. According to the provided context, XBB.1.5 cases have shown the greatest spike, rising from about 4% to 41% of new infections over the month of December.",XBB.1.5,1,Pass.
