question,answer,reference
What was the average life expectancy in the roman empire?,"The average life expectancy in the Roman Empire varied depending on factors such as social class, location, and access to healthcare. Generally, historians estimate that the average life expectancy in the Roman Empire was around 25 to 30 years old. However, it is important to note that this is a rough estimate and can vary significantly based on different factors.","Disambiguation 1. Question: What was the average life expectancy in the roman empire before infant mortality is factored out? Answer:25
Disambiguation 2. Question: What was the average life expectancy in the roman empire after infant mortality is factored out? Answer:late-50s
"
What is the name of the shortbread girl scout cookie?,"The name of the shortbread Girl Scout cookie is ""Trefoils.""","Disambiguation 1. Question: What is the name of the shortbread girl scout cookie with lemon icing? Answer:Lemonades
Disambiguation 2. Question: What is the name of the shortbread girl scout cookie made in the shape of the Girl Scout trefoil? Answer:Shortbread
Disambiguation 3. Question: What is the name of the shortbread girl scout cookie dipped in fudge? Answer:Thanks-A-Lot
Disambiguation 4. Question: What is the name of the discontinued shortbread girl scout cookie dipped in chocolate? Answer:The LBB version of Thanks-A-Lot
Disambiguation 5. Question: What is the name of the discontinued shortbread girl scout cookie with cinnamon topping? Answer:Cafe Cookies
Disambiguation 6. Question: What is the name of the discontinued shortbread girl scout cookie with embossed chalet picture? Answer:Chalet Creme
Disambiguation 7. Question: What is the name of the discontinued shortbread girl scout cookie with chocolate chips? Answer:Chocolate Chip Shortbread
Disambiguation 8. Question: What is the name of the discontinued shortbread girl scout cookie in two different flavors? Answer:Medallions
Disambiguation 9. Question: What is the name of the discontinued shortbread girl scout cookie with sprinkled sugar? Answer:Scot-Teas
"
Where does sniper ghost warrior 3 take place?,"Sniper Ghost Warrior 3 takes place in a fictional country called Georgia, which is located in Eastern Europe.","Disambiguation 1. Question: Where does sniper ghost warrior 3's first mission to destroy a stockpile take place? Answer:Russian-Ukrainian border
Disambiguation 2. Question: Where does sniper ghost warrior 3 take place after the two year time skip? Answer:Republic of Georgia
"
What's donnas real name from that 70's show?,"Donna's real name from ""That '70s Show"" is Donna Pinciotti.","Disambiguation 1. Question: What's donnas full name from that 70's show? Answer:Donna Pinciotti
Disambiguation 2. Question: Who plays donna from that 70's show? Answer:Laura Prepon
"
When did the united states and britain become allies?,"The United States and Britain officially became allies during World War II, following the attack on Pearl Harbor by Japan in December 1941. Prior to this event, the United States had been providing support to Britain through programs like Lend-Lease, but it was after the attack that the two countries formally entered into a military alliance.","Disambiguation 1. Question: When did the United States and Britain become trade allies? Answer:1783
Disambiguation 2. Question: When did the United States and Britain begin to become political allies? Answer:1895
"
Who plays maya on bold and the beautiful?,"The character of Maya Avant on ""The Bold and the Beautiful"" is portrayed by actress Karla Mosley.","Disambiguation 1. Question: Who played Maya Avant on the Bold and the Beautiful (TV serial)? Answer:Karla Moseley
Disambiguation 2. Question: Who played a one off character named Maya on October 21, 2012 on the Bold and the Beautiful (TV serial)? Answer:Karen Kim
"
When does the new maze runner 3 come out?,"The release date for the movie ""Maze Runner: The Death Cure"" (which is the third installment in the Maze Runner series) was January 26, 2018. Therefore, the new Maze Runner 3 movie has already been released.","Disambiguation 1. Question: When does the new maze runner 3 film come out in the US? Answer:January 26, 2018
Disambiguation 2. Question: When does the new maze runner 3 film come out in Seoul? Answer:January 11, 2018
Disambiguation 3. Question: When does the new maze runner 3 book get published? Answer:11 October 2011
"
Who was involved in the ww1 christmas truce?,"The Christmas Truce during World War I involved soldiers from both the Allied and Central Powers, including British, German, French, and Belgian troops. The truce took place on the Western Front in December 1914.","Disambiguation 1. Question: Who was involved in the WWI Christmas truce of 2014 along the Western Front? Answer:100,000 British and German troops
Disambiguation 2. Question: Who was involved in the WWI Christmas truce of 2014 in the Comines sector of the front? Answer:German and French soldiers
Disambiguation 3. Question: Who was involved in the WWI Christmas truce of 2014 in the Eastern front? Answer:Austro-Hungarians and Russians
"
What is the name of india's first arctic research station setup?,"India's first Arctic research station is named ""Himadri.""","Disambiguation 1. Question: What is the name of india's first permanent arctic research station setup? Answer:Himadri
Disambiguation 2. Question: What is the name of india's first underwater arctic research station setup? Answer:IndARC
"
Where is the the great pacific garbage patch located?,"The Great Pacific Garbage Patch is located in the North Pacific Ocean, specifically between Hawaii and California. It is a collection of marine debris, mostly consisting of plastic, that has accumulated due to ocean currents.","Disambiguation 1. Question: Where are the coordinates of the the great pacific garbage patch located? Answer:from 135°W to 155°W and 35°N to 42°N
Disambiguation 2. Question: What part of the ocean is the the great pacific garbage patch located? Answer:north central Pacific Ocean
"
