question,answer,label,judgement
What process is triggered by heat and pressure generated from gravitational collapse of nitrogen clouds?,The process triggered by heat and pressure generated from gravitational collapse of nitrogen clouds is nuclear fusion.,-1,Fail.
Who gave followers of Humanism the ability to think inside the box?,Gemistus Pletho gave followers of Humanism the ability to think inside the box.,-1,Fail.
How many international operations have Canadian military units participated in since 1947?,Canadian military units have participated in 72 international operations since 1947.,-1,Fail.
What memorializes achievements for players aged 18-22?,The Vanier Cup memorializes achievements for players aged 18-22 in Canadian football.,-1,Fail.
What method of transport is not available in the Republic of the Congo?,The method of transport that is not available in the Republic of the Congo is a subway or underground metro system.,-1,Fail.
"The Premier league has played in 75,957 stadiums since which year?","The Premier League has played in 75,957 stadiums since the year 1992.",-1,Fail.
What common material was valued for the manufacturing of tools and weapons?,Steel,-1,Fail.
Who now organizes the Eton Choral Courses?,"Ralph Allwood is the former Precentor of Eton College who set up and organized the Eton Choral Courses, which now are organized by the school every summer.",-1,Fail.
What is the amount of absorption a group of atoms will show in cm?,The amount of absorption a group of atoms will show in cm is typically measured in wavenumbers (cm^-1) in the context of infrared vibrational spectroscopy.,-1,Fail.
What was the first commercial uses of non-LEDs?,"The first commercial uses of non-LEDs were as replacements for incandescent and neon indicator lamps, and in seven-segment displays. Initially, they were used in expensive equipment such as laboratory and electronics test equipment, and later in appliances such as TVs, radios, telephones, calculators, and watches. The first organization to mass-produce visible LEDs was the Monsanto Company in 1968, using gallium arsenide phosphide (GaAsP) to produce red LEDs suitable for indicators. Hewlett Packard (HP) also introduced LEDs in 1968, initially using GaAsP supplied by Monsanto. These red LEDs were initially only bright enough for use as indicators, and plastic lenses were built over each digit in calculators to make them legible. Later on, other colors became widely available and appeared in various appliances and equipment.",-1,Fail.
What example of Stoic influence followed Plato's?,One example of Stoic influence that followed Plato's is the Roman statesman Cicero.,-1,Fail.
The least common standard test configuration procedure is what?,The least common standard test configuration procedure in boundary scan testing is the IEEE 1149.7 standard.,1,Pass.
What book of poetry was published by John Kneubuhl in 2004?,Wild Dogs Under My Skirt,-1,Fail.
What principle further elaborates on how fiction can change history?,"The Novikov self-consistency principle further elaborates on how fiction can change history by proposing that any change made by a hypothetical future time traveler would already have happened in his or her past, resulting in the reality that the traveler moves from. This principle suggests that history is not an unchangeable constant, but rather that any alterations made by time travelers are already accounted for within the timeline. This principle helps to explain how causality-based temporal paradoxes, such as the grandfather paradox, are avoided in fictional works.",-1,Fail.
What inhibitors are used in low-risk scenarios?,"In low-risk scenarios, inhibitors such as aspirin and clopidogrel are commonly used.",-1,Fail.
What is the secondary theme of the Centre Room?,"The secondary theme of the Centre Room is a Chinese theme, as enhanced by Queen Mary and designer Sir Charles Allom in the late 1920s.",-1,Fail.
"In May 2012, ABC Music filed charged against whom?","In May 2012, ABC Music filed charges against IsoHunt.",-1,Fail.
What did Robert Kyncl confirm in May 2014?,"Robert Kyncl confirmed in May 2014 that YouTube would block the content of labels who do not negotiate deals to be included in the paid service ""to ensure that all content on the platform is governed by its new contractual terms.""",-1,Fail.
"Before World War II, what regions remain part of Ukraine?","Northern Bukovina, Southern Bessarabia, and Hertza remained part of Ukraine before World War II.",-1,Fail.
How many people attend the Festival of Lights each year?,"Over 170,000 people attend the Festival of Lights each year.",-1,Fail.
What is the lowest temperature state in the US?,"Alaska is the lowest temperature state in the US, with an average daily temperature of 26.6 °F (-3 °C).",-1,Fail.
What took place from February 1979 to December 1989?,The Soviet war in Afghanistan took place from December 1979 to February 1989.,1,Pass.
In what city is the Danforth Campus?,"The Danforth Campus is located in St. Louis, Missouri.",-1,Fail.
What did the Greeks offer to the Ottoman Empire that wasn't a superb benefit ?,"The Greeks offered intellectual revival and education to the Ottoman Empire, which was not seen as a superb benefit by the Ottomans.",1,Pass.
By what year does Dell plan to put chemicals in its computers?,"By the end of 2011, Dell plans to put chemicals in its computers.",-1,Fail.
How many corps did the Byzantines have?,"The Byzantines had five corps: the centre, two wings, vanguards, and rearguards.",-1,Fail.
What characters does multilingual processors use?,Multilingual processors use Unicode characters.,1,Pass.
Who's opponents packed the House of Commons?,Robert Walpole's opponents packed the House of Commons.,-1,Fail.
What does the Chief of Defense do?,"The Chief of Defense is the highest-ranking military officer responsible for the overall command and control of the armed forces in a country. They advise the government on military matters, develop military strategy, and ensure the readiness and effectiveness of the armed forces to defend the country's interests.",-1,Fail.
When did the partnership between Jones and Appleton start?,"The partnership between Jones and Appleton started in 1825 when Charles Appleton established a store in Sydney and David Jones subsequently established a partnership with him, leading to the store being known as Appleton & Jones.",-1,Fail.
