question,answer,label,judgement
"What is the name of the cheese dubbed the ""world's smelliest"" set to cause a stink in UK supermarkets?","The name of the cheese dubbed the ""world's smelliest"" set to cause a stink in UK supermarkets is Vieux Boulogne.",-1,Fail.
Which iconic 1990s children’s toy is set to be relaunched?,The iconic 1990s children's toy set to be relaunched is the Tamagotchi virtual pet.,-1,Fail.
Newly released figures show that the amount of electricity produced by which type of renewable energy hit a record high in Britain last year?,The amount of electricity produced by wind power hit a record high in Britain last year.,-1,Fail.
West Virginia announced an $87 million settlement with which company for its role in perpetuating the opioid crisis in the state?,The company involved in the $87 million settlement with West Virginia for its role in perpetuating the opioid crisis in the state is the pharmaceutical distributor McKesson Corporation.,-1,Fail.
Which country was named the world’s happiest for the sixth year in a row?,Finland,-1,Fail.
Syracuse men’s basketball coach Jim Boheim retired this week after 47 years at the helm. How many times did he lead his team to the Final Four?,Jim Boeheim led the Syracuse men's basketball team to the Final Four a total of five times during his coaching career.,-1,Fail.
Which state said “yes” to making abortion a constitutional right?,"The state that said ""yes"" to making abortion a constitutional right was California.",-1,Fail.
Donald Trump’s 2024 pitch includes a promise to do what?,"As an AI, I cannot predict the future or provide real-time updates on political developments. Donald Trump's 2024 pitch may include a variety of promises or proposals, but without specific information, I cannot provide an accurate answer. It is recommended to refer to reliable news sources for the most up-to-date information on this topic.",1,Pass.
"What is the primary time frame for the ""bed bug season""?","The primary time frame for the ""bed bug season"" is typically during the warmer months of the year, from spring to early fall. However, it is important to note that bed bugs can be present at any time of the year and are not limited to a specific season.",-1,Fail.
Which lawmaker was ousted from his role as speaker of the US House of Representatives?,Paul Ryan was the lawmaker who was ousted from his role as speaker of the US House of Representatives.,-1,Fail.
What organization owned and occupied the Elwyn building before it was purchased by the Delaware Affordable Housing Group?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
Which social media platform expanded its link-sharing feature this week?,"I'm sorry, but I do not have the most up-to-date information on social media platform updates. It would be best to check the latest news or updates from the specific social media platforms to find out which one expanded its link-sharing feature this week.",1,Pass.
"The Writers Guild of America, which represents many Hollywood scribes, went on strike this week. They last hit the picket lines in what year?",The Writers Guild of America last went on strike in 2007-2008.,-1,Fail.
"Hundreds of people were arrested in which country after government buildings in its capital city were attacked, vandalized and looted on Jan. 8?","The country where hundreds of people were arrested after government buildings in its capital city were attacked, vandalized, and looted on Jan. 8 is Uganda.",-1,Fail.
Wembley Stadium celebrated what landmark event this week?,"I'm sorry, but I do not have the most up-to-date information to provide a reliable answer to this question.",1,Pass.
"What prompted the closure of Fordham and Dominion Brewing, one of the oldest and largest breweries in Delaware?","The closure of Fordham and Dominion Brewing in Delaware was prompted by financial difficulties and declining sales, leading to the decision to cease operations in 2019.",-1,Fail.
Which football conference will Delaware be joining in 2025 after moving up to the Football Bowl Subdivision (FBS)?,"As of my last update, Delaware has not officially announced which football conference they will be joining in 2025 after moving up to the FBS. It is recommended to check with official sources or news outlets for the most up-to-date information on this matter.",1,Pass.
"Which foreign leader told their party ""I, too, am human"" after taking a day off?","I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
"The Mega Millions jackpot was won in back-to-back drawings, with the winning purchased tickets in which states?",The Mega Millions jackpot was won in back-to-back drawings with the winning purchased tickets in California and Wisconsin.,-1,Fail.
Who won this year's Nobel Peace Prize?,"The 2021 Nobel Peace Prize was awarded to journalists Maria Ressa and Dmitry Muratov for their efforts to safeguard freedom of expression, which is a fundamental human right.",-1,Fail.
Which public figure will plead guilty to federal tax charges?,"I'm sorry, but I do not have access to real-time information or the ability to predict future events. It would be best to refer to the latest news updates for information on any public figure pleading guilty to federal tax charges.",1,Pass.
"Which broadcaster suspended commentator Laurence Fox for making ""totally inappropriate"" comments about a female journalist?","Laurence Fox was suspended by Talkradio for making ""totally inappropriate"" comments about a female journalist.",-1,Fail.
The total number of women on this year’s Booker Prize shortlist is fewer than the tally of male nominees who share which first name?,"I'm sorry, but I do not have access to the specific information regarding the Booker Prize shortlist and the first names of the male nominees.",1,Pass.
"How many people will get a universal basic income (UBI) of £1,600 a month in a proposed trial in England?","The proposed trial in England plans to provide universal basic income (UBI) of £1,600 a month to around 100 residents.",-1,Fail.
The European Space Agency wants to give which celestial body its own time zone?,The European Space Agency wants to give Mars its own time zone.,-1,Fail.
Which national holiday was celebrated this week?,"I'm sorry, but I do not have real-time information on specific national holidays celebrated this week. It would be best to check a reliable news source or calendar for the most up-to-date information on national holidays.",1,Pass.
What significant change has occurred in the sale of Delaware surf-fishing permits for 2024?,"I'm sorry, but I do not have access to real-time information or updates on specific events or changes related to the sale of Delaware surf-fishing permits for 2024. It is recommended to check the official Delaware Department of Natural Resources and Environmental Control (DNREC) website or contact their office directly for the most accurate and up-to-date information on any significant changes in the sale of surf-fishing permits.",1,Pass.
Which European city is launching a “Stay Away” campaign to deter Brits from visiting?,"The European city launching a ""Stay Away"" campaign to deter Brits from visiting is Amsterdam, Netherlands.",-1,Fail.
America’s banking system was widely impacted this week by which issue?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
Former president Donald Trump pleaded not guilty to how many felony counts of falsifying business records when he appeared in a New York court this week?,"I'm sorry, but I do not have access to real-time information or news updates. I recommend checking a reliable news source for the most up-to-date information on this matter.",1,Pass.
A pair of basketball shoes worn by which athlete recently became the most expensive sneakers ever to sell at auction?,A pair of basketball shoes worn by Michael Jordan recently became the most expensive sneakers ever to sell at auction.,-1,Fail.
Which country recently banned solo hiking at its national parks for safety reasons?,I am not aware of any country that has recently banned solo hiking at its national parks for safety reasons.,1,Pass.
Why was the latest Panera Charged Lemonade lawsuit filed in Delaware?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
The World Health Organization recently warned of a “huge biological risk” after a laboratory was seized by fighters in which country?,"The World Health Organization recently warned of a ""huge biological risk"" after a laboratory was seized by fighters in Ukraine.",-1,Fail.
Which public figure filed paperwork this week to run for president in 2024?,"I'm sorry, but I do not have that information at the moment.",1,Pass.
The Doomsday Clock moved to how many seconds to midnight?,"I'm sorry, but I do not have the most up-to-date information on the current position of the Doomsday Clock. I recommend checking a reliable news source or the official website of the Bulletin of the Atomic Scientists for the most recent update.",1,Pass.
All these MLB teams reportedly agreed to a contract with shortstop Carlos Correa this offseason except:,"I'm sorry, but I do not have access to real-time information or the ability to browse the internet. Therefore, I am unable to provide an accurate answer to your question about which MLB team did not agree to a contract with shortstop Carlos Correa this offseason.",1,Pass.
Which American football team was left out of the 2023 College Football Playoffs despite being undefeated this season?,"I'm sorry, but I do not have access to real-time information or the ability to browse the internet. I recommend checking the latest news or sports websites for the most up-to-date information on the 2023 College Football Playoffs.",1,Pass.
Who is now CEO of OpenAI following Sam Altman's sacking from the role last week?,"I'm sorry, but I do not have the most up-to-date information on the current CEO of OpenAI. It would be best to refer to the latest news sources or the official OpenAI website for the most accurate information.",1,Pass.
What is the name of the BBC's controversial new drama about Jimmy Savile?,"The name of the BBC's controversial new drama about Jimmy Savile is ""The Reckoning.""",-1,Fail.
Which country experienced a nationwide power outage this week?,"I'm sorry, but I do not have enough information to provide an accurate answer to your question.",1,Pass.
What is the name of Joe Biden’s dog who is in the doghouse for repeatedly biting Secret Service agents?,"I'm sorry, but I cannot provide an answer to that question as I do not have enough information to confirm the accuracy of the statement.",1,Pass.
Which former England international footballer-turned-manager has inspired a new play?,David Beckham,-1,Fail.
"What addition is Capriotti's making to its legendary flagship sandwich, The Bobbie, for the first time?",Capriotti's is adding cranberry sauce to The Bobbie sandwich for the first time.,-1,Fail.
Which state is investigating robotaxi collisions after a handful of incidents recently endangered pedestrians?,The state investigating robotaxi collisions after a handful of incidents recently endangered pedestrians is California.,-1,Fail.
"More than 100 reports of hail were recorded in the South and Upper Midwest this week amid raging storms. According to officials, some of the largest hail was the size of which item?",Some of the largest hail reported this week was the size of a baseball or even larger.,-1,Fail.
Kylie Jenner has angered animal rights activists by wearing a dress adorned with a lion’s head that was designed by who?,Kylie Jenner angered animal rights activists by wearing a dress adorned with a lion's head that was designed by Versace.,-1,Fail.
YouTube legend MrBeast is facing criticism for doing what in his latest online stunt?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
Elon Musk told advertisers fleeing his social media platform X (formerly Twitter) to do what?,"Elon Musk told advertisers fleeing his social media platform X (formerly Twitter) to ""go ahead.""",-1,Fail.
Who was criticised for saying Brits need to accept being “worse off” financially?,"Former Chancellor of the Exchequer, George Osborne, was criticized for saying Brits need to accept being ""worse off"" financially.",-1,Fail.
ESPN apologized for airing footage during the broadcast of a game between the Miami Heat and the New York Knicks that showed what?,"I'm sorry, but I do not have enough information to provide an accurate answer to this question.",1,Pass.
"According to internal documents reported this week, what measure is United Airlines planning to introduce this month to speed up the boarding of passengers?","United Airlines is planning to introduce a new boarding process called ""Everyday Boarding"" this month to speed up the boarding of passengers.",-1,Fail.
What was the name of the country music festival where the deadliest mass shooting in American history occurred?,"The name of the country music festival where the deadliest mass shooting in American history occurred was the Route 91 Harvest Festival in Las Vegas, Nevada.",-1,Fail.
Prince Harry and Meghan’s daughter will be known by which royal title?,"Prince Harry and Meghan's daughter will be known by the title of Lilibet ""Lili"" Diana Mountbatten-Windsor.",-1,Fail.
Residents in which country moved their clocks forward last weekend to Daylight Saving Time for the last time?,Residents in the European Union moved their clocks forward last weekend to Daylight Saving Time for the last time.,-1,Fail.
"Which Satellite TV provider was hit with a $150,000 fine for failing to properly dispose of one of its satellites in space?","Intelsat was hit with a $150,000 fine for failing to properly dispose of one of its satellites in space.",-1,Fail.
New polling data suggests that what percentage of 18- to 24-year-olds in the UK want to replace the monarchy with an elected head of state?,"I'm sorry, but I do not have access to real-time polling data or specific statistics on the percentage of 18- to 24-year-olds in the UK who want to replace the monarchy with an elected head of state. It would be best to refer to the latest polling results or surveys conducted by reputable organizations for accurate information on this topic.",1,Pass.
Which MLB team won the World Series this week?,"I'm sorry, but I am unable to provide real-time information. I recommend checking the latest sports news or official MLB sources for the most up-to-date information on the World Series winner.",1,Pass.
"Which member of the UK shadow cabinet branded Suella Braverman as ""out of control"" after the home secretary publicly criticised the Met Police?","I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
What beverage was once popular and synonymous with Juneteenth celebrations?,"Red soda pop, specifically strawberry soda, was once popular and synonymous with Juneteenth celebrations.",-1,Fail.
Latest analysis by Reporters Without Borders (RSF) found that which country ranks lowest for press freedom?,"According to the latest analysis by Reporters Without Borders (RSF), Eritrea ranks lowest for press freedom.",-1,Fail.
"Taylor Swift and Beyoncé dominated the entertainment headlines, thanks to their blockbuster worldwide tours and concert films released in theaters. Beyoncé also set a record for the most Grammy Awards. How many has she won?",Beyoncé has won a total of 28 Grammy Awards as of 2021.,-1,Fail.
Which pop icon will embark on her 40th anniversary tour this year?,Madonna,-1,Fail.
"After 35 years, the curtain fell for the final time on Broadway's longest-running musical this week. What is the show called?","The show is called ""The Phantom of the Opera.""",-1,Fail.
What type of agreement was reached between dozens of countries this week?,"I'm sorry, but I do not have enough information to provide an accurate answer to your question.",1,Pass.
"A French woman named Lucile Randon, believed to be the world’s oldest person, died this week. What age was she?","Lucile Randon, also known as Sister André, passed away at the age of 117.",-1,Fail.
"Third baseman Scott Rolen was the lone player elected to the Baseball Hall of Fame this year. He played for five MLB teams, including the:","Philadelphia Phillies, St. Louis Cardinals, Toronto Blue Jays, Cincinnati Reds, and the New York Yankees.",-1,Fail.
Which of the following bands will reportedly headline King Charles’s coronation concert?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
True or false: Travelers from China to the U.S. are no longer required to present a negative COVID-19 test before boarding their flights.,False. Travelers from China to the U.S. are still required to present a negative COVID-19 test before boarding their flights.,-1,Fail.
Which European royal was accused of infidelity with her former brother-in-law?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
"After being expelled for leading gun-reform protests on the chamber floor, two Black Democratic lawmakers from which state were reappointed?","I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
Which actor paid tribute to Karl Lagerfeld by wearing a giant fluffy cat costume to the 2023 Met Gala?,"I'm sorry, but I cannot provide an answer to this question as it pertains to a future event in 2023, and I do not have access to real-time information.",1,Pass.
Which North African country was inundated with catastrophic flooding this week?,"I'm sorry, I do not have enough information to provide a reliable answer to this question.",1,Pass.
Which cabinet minister now has the highest approval rating from Tory members following Ben Wallace’s resignation as defence minister?,"I'm sorry, but I do not have access to real-time data or information on current events. I recommend checking the latest news sources or official announcements for the most up-to-date information on the approval ratings of cabinet ministers.",1,Pass.
What sparked the popularity of Mexican pizza in Philadelphia?,"I'm sorry, but I do not have enough information to provide a reliable answer to that question.",1,Pass.
Workers in which country arrived at work to find a national holiday had been declared overnight?,Workers in Nepal arrived at work to find a national holiday had been declared overnight.,-1,Fail.
A signalling error meant a train carrying members of the European Parliament from Charles de Gaulle airport outside Paris ended up where?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
"What sparked a police investigation at Carousel Park in Pike Creek, Delaware?","I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
Tennessee Republicans voted to expel two Democrats from the state House for:,"I'm sorry, but I do not have enough information to provide an accurate answer to this question.",1,Pass.
"Which would-be Republican presidential nominee referred to the absent Donald Trump as ""Donald Duck"" during the second GOP debate?","The would-be Republican presidential nominee who referred to the absent Donald Trump as ""Donald Duck"" during the second GOP debate was Senator Rand Paul.",-1,Fail.
Which Thanksgiving dish was invented in the 1950s by a Campbell Soup Company employee named Dorcas Reilly with the hope of boosting sales of one of Campbell’s products?,Green bean casserole,-1,Fail.
A powerful cyclone hit Myanmar this week. What was its name?,"I'm sorry, but I do not have enough information to provide the name of the cyclone that hit Myanmar this week.",1,Pass.
"How much per year is Britain's obesity problem costing the economy, according to new analysis?","According to new analysis, Britain's obesity problem is costing the economy around £73 billion per year.",-1,Fail.
Medical experts have criticised a new TikTok trend showing parents doing what with eggs?,"Medical experts have criticised a new TikTok trend showing parents giving their children raw eggs to eat, which can pose a risk of salmonella poisoning and other health issues.",-1,Fail.
UK ministers reportedly considered a nationwide cull of which household pets at the start of the Covid pandemic?,UK ministers reportedly considered a nationwide cull of cats at the start of the Covid pandemic.,-1,Fail.
The appearance of Donald Trump at a broadcast “town hall” meeting held by which news channel has caused ongoing controversy this week?,"The appearance of Donald Trump at a broadcast ""town hall"" meeting held by NBC News has caused ongoing controversy this week.",-1,Fail.
Residents of which European capital are to vote on whether to ban e-scooters?,"Residents of Paris, France are to vote on whether to ban e-scooters.",-1,Fail.
Actress Gwyneth Paltrow appeared in court this week over her alleged involvement in which type of accident?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
Which US President signed a bill making Juneteenth a federal holiday?,"President Joe Biden signed a bill making Juneteenth a federal holiday on June 17, 2021.",-1,Fail.
Which athlete became the NBA’s all-time leading scorer this week?,"I'm sorry, but I am unable to provide real-time information or updates on current events. I recommend checking the latest sports news for the most up-to-date information on the NBA's all-time leading scorer.",1,Pass.
"McDonald’s announced a birthday meal, available beginning June 12, for which character?","I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
Who is permitted to be on the Community Advisory Group for the contaminated East Basin Road Groundwater Superfund site in New Castle?,"The Community Advisory Group for the contaminated East Basin Road Groundwater Superfund site in New Castle is typically comprised of community members, local officials, environmental experts, and representatives from relevant organizations. The specific criteria for membership may vary, but individuals with a vested interest in the site and its remediation are usually permitted to join the group. For the most accurate and up-to-date information on membership eligibility, it is recommended to contact the organization overseeing the Superfund site.",1,Pass.
"As Russia’s war in Ukraine raged, a mercenary group attempted an insurrection against President Vladimir Putin. The Wagner Group’s leader later died in a plane crash. What was his name?",The leader of the Wagner Group who died in a plane crash was Dmitry Utkin.,-1,Fail.
"Which state was devastated by a series of tornadoes that left more than 35,000 customers without power?","The state that was devastated by a series of tornadoes that left more than 35,000 customers without power was Tennessee.",-1,Fail.
What was unearthed under the site of a proposed new Aldi supermarket in the Buckinghamshire town of Olney?,"Human remains, believed to be from a medieval burial ground, were unearthed under the site of the proposed new Aldi supermarket in Olney, Buckinghamshire.",-1,Fail.
Which country this week announced the sale of military equipment to Armenia amid escalating tensions in the Caucasus?,Russia announced the sale of military equipment to Armenia amid escalating tensions in the Caucasus.,-1,Fail.
Which type of product received a sweeping recall this week over concerns of fire and burn hazards?,"I'm sorry, but I do not have enough information to provide a reliable answer to your question.",1,Pass.
A Spanish TV star sparked controversy by using whose sperm for her surrogate baby?,"I'm sorry, but I do not have enough information to provide a reliable answer to this question.",1,Pass.
"X, the company formerly known as Twitter, endured a turbulent year under Elon Musk’s leadership. He laid off thousands of employees and implemented a slew of controversial changes. Amid the chaos, rival Meta introduced a new social media app. What is it called?","I'm sorry, but the information provided in the question is not accurate. As of now, Twitter is still known as Twitter and Elon Musk has not taken over the company. Additionally, Meta is the parent company of Facebook, not a rival social media platform.",-1,Fail.
Another Thanksgiving tradition is football. Which NFL team has played the most games on Thanksgiving Day?,The Detroit Lions hold the record for playing the most games on Thanksgiving Day in the NFL.,-1,Fail.
