question,answer,label,judgement
"What is the name of the cheese dubbed the ""world's smelliest"" set to cause a stink in UK supermarkets?","The name of the cheese dubbed the ""world's smelliest"" set to cause a stink in UK supermarkets is Epoisses.",-1,Fail.
Which iconic 1990s children’s toy is set to be relaunched?,The iconic 1990s children's toy set to be relaunched is the Tamagotchi virtual pet.,-1,Fail.
Newly released figures show that the amount of electricity produced by which type of renewable energy hit a record high in Britain last year?,Wind power,-1,Fail.
West Virginia announced an $87 million settlement with which company for its role in perpetuating the opioid crisis in the state?,McKesson Corporation,-1,Fail.
Which country was named the world’s happiest for the sixth year in a row?,Finland,-1,Fail.
Syracuse men’s basketball coach Jim Boheim retired this week after 47 years at the helm. How many times did he lead his team to the Final Four?,Jim Boeheim led the Syracuse men's basketball team to the Final Four a total of five times during his tenure as head coach.,-1,Fail.
Which state said “yes” to making abortion a constitutional right?,"The state that said ""yes"" to making abortion a constitutional right is California.",-1,Fail.
Donald Trump’s 2024 pitch includes a promise to do what?,"Donald Trump's 2024 pitch includes a promise to ""Make America Great Again, Again.""",-1,Fail.
"What is the primary time frame for the ""bed bug season""?","The primary time frame for the ""bed bug season"" is typically during the warmer months of the year, from spring to early fall. Bed bugs are more active and reproduce more quickly in warmer temperatures, making them more prevalent during this time.",-1,Fail.
Which lawmaker was ousted from his role as speaker of the US House of Representatives?,John Boehner,-1,Fail.
What organization owned and occupied the Elwyn building before it was purchased by the Delaware Affordable Housing Group?,The Elwyn building was owned and occupied by the Elwyn organization before it was purchased by the Delaware Affordable Housing Group.,-1,Fail.
Which social media platform expanded its link-sharing feature this week?,Twitter,-1,Fail.
"The Writers Guild of America, which represents many Hollywood scribes, went on strike this week. They last hit the picket lines in what year?",The Writers Guild of America last went on strike in 2007.,-1,Fail.
"Hundreds of people were arrested in which country after government buildings in its capital city were attacked, vandalized and looted on Jan. 8?",Uganda,-1,Fail.
Wembley Stadium celebrated what landmark event this week?,Wembley Stadium celebrated its 100th anniversary this week.,-1,Fail.
"What prompted the closure of Fordham and Dominion Brewing, one of the oldest and largest breweries in Delaware?",The closure of Fordham and Dominion Brewing in Delaware was prompted by financial difficulties and declining sales in a competitive craft beer market.,-1,Fail.
Which football conference will Delaware be joining in 2025 after moving up to the Football Bowl Subdivision (FBS)?,Delaware will be joining the Sun Belt Conference in 2025 after moving up to the Football Bowl Subdivision (FBS).,-1,Fail.
"Which foreign leader told their party ""I, too, am human"" after taking a day off?",Nelson Mandela,-1,Fail.
"The Mega Millions jackpot was won in back-to-back drawings, with the winning purchased tickets in which states?","The Mega Millions jackpot was won in back-to-back drawings, with the winning purchased tickets in California and Wisconsin.",-1,Fail.
Who won this year's Nobel Peace Prize?,"The winner of this year's Nobel Peace Prize is Maria Ressa and Dmitry Muratov for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace.",-1,Fail.
Which public figure will plead guilty to federal tax charges?,"I'm sorry, but I cannot provide an answer to this question as it involves predicting future events or legal matters.",1,Pass.
"Which broadcaster suspended commentator Laurence Fox for making ""totally inappropriate"" comments about a female journalist?","The broadcaster that suspended commentator Laurence Fox for making ""totally inappropriate"" comments about a female journalist is GB News.",-1,Fail.
The total number of women on this year’s Booker Prize shortlist is fewer than the tally of male nominees who share which first name?,"The total number of women on this year's Booker Prize shortlist is fewer than the tally of male nominees who share the first name ""David.""",-1,Fail.
"How many people will get a universal basic income (UBI) of £1,600 a month in a proposed trial in England?","The proposed trial in England aims to provide universal basic income (UBI) of £1,600 a month to 100,000 people.",-1,Fail.
The European Space Agency wants to give which celestial body its own time zone?,Mars,-1,Fail.
Which national holiday was celebrated this week?,Independence Day,-1,Fail.
What significant change has occurred in the sale of Delaware surf-fishing permits for 2024?,"The significant change in the sale of Delaware surf-fishing permits for 2024 is that they will now be available for purchase online, making it more convenient for anglers to obtain their permits.",-1,Fail.
Which European city is launching a “Stay Away” campaign to deter Brits from visiting?,Amsterdam,-1,Fail.
America’s banking system was widely impacted this week by which issue?,The issue that widely impacted America's banking system this week was the collapse of a major financial institution.,1,Pass.
Former president Donald Trump pleaded not guilty to how many felony counts of falsifying business records when he appeared in a New York court this week?,Former president Donald Trump pleaded not guilty to 15 felony counts of falsifying business records when he appeared in a New York court this week.,-1,Fail.
A pair of basketball shoes worn by which athlete recently became the most expensive sneakers ever to sell at auction?,Michael Jordan,-1,Fail.
Which country recently banned solo hiking at its national parks for safety reasons?,South Korea,-1,Fail.
Why was the latest Panera Charged Lemonade lawsuit filed in Delaware?,"The latest Panera Charged Lemonade lawsuit was filed in Delaware because Panera Bread Company is incorporated in Delaware, making it the appropriate jurisdiction for legal matters involving the company.",-1,Fail.
The World Health Organization recently warned of a “huge biological risk” after a laboratory was seized by fighters in which country?,The World Health Organization recently warned of a “huge biological risk” after a laboratory was seized by fighters in Ukraine.,-1,Fail.
Which public figure filed paperwork this week to run for president in 2024?,"Dwayne ""The Rock"" Johnson",-1,Fail.
The Doomsday Clock moved to how many seconds to midnight?,100 seconds,-1,Fail.
All these MLB teams reportedly agreed to a contract with shortstop Carlos Correa this offseason except:,The correct answer is the New York Yankees.,-1,Fail.
Which American football team was left out of the 2023 College Football Playoffs despite being undefeated this season?,The Cincinnati Bearcats were left out of the 2023 College Football Playoffs despite being undefeated this season.,-1,Fail.
Who is now CEO of OpenAI following Sam Altman's sacking from the role last week?,The current CEO of OpenAI following Sam Altman's departure is Greg Brockman.,-1,Fail.
What is the name of the BBC's controversial new drama about Jimmy Savile?,"""The Reckoning""",-1,Fail.
Which country experienced a nationwide power outage this week?,India,-1,Fail.
What is the name of Joe Biden’s dog who is in the doghouse for repeatedly biting Secret Service agents?,Major,-1,Fail.
Which former England international footballer-turned-manager has inspired a new play?,Bobby Robson,-1,Fail.
"What addition is Capriotti's making to its legendary flagship sandwich, The Bobbie, for the first time?","Capriotti's is adding cranberry sauce to its legendary flagship sandwich, The Bobbie, for the first time.",-1,Fail.
Which state is investigating robotaxi collisions after a handful of incidents recently endangered pedestrians?,California,-1,Fail.
"More than 100 reports of hail were recorded in the South and Upper Midwest this week amid raging storms. According to officials, some of the largest hail was the size of which item?","According to officials, some of the largest hail was the size of baseballs.",-1,Fail.
Kylie Jenner has angered animal rights activists by wearing a dress adorned with a lion’s head that was designed by who?,Dolce & Gabbana,-1,Fail.
YouTube legend MrBeast is facing criticism for doing what in his latest online stunt?,"In his latest online stunt, YouTube legend MrBeast is facing criticism for planting 20 million trees as part of a fundraising campaign called #TeamTrees. Critics argue that the environmental impact of planting non-native trees in certain areas could potentially do more harm than good.",-1,Fail.
