question,answer,label,judgement
"What is the name of the cheese dubbed the ""world's smelliest"" set to cause a stink in UK supermarkets?","The cheese dubbed the ""world's smelliest"" that is set to cause a stink in UK supermarkets is called Vieux Boulogne.",-1,Fail.
Which iconic 1990s children’s toy is set to be relaunched?,The iconic 1990s children's toy set to be relaunched is the Tamagotchi virtual pet.,-1,Fail.
Newly released figures show that the amount of electricity produced by which type of renewable energy hit a record high in Britain last year?,The question is clear and specific. The answer is wind power.,-1,Fail.
West Virginia announced an $87 million settlement with which company for its role in perpetuating the opioid crisis in the state?,The question is clear and specific. The answer is: West Virginia announced an $87 million settlement with the pharmaceutical distributor McKesson Corporation for its role in perpetuating the opioid crisis in the state.,-1,Fail.
Which country was named the world’s happiest for the sixth year in a row?,The question is clear and specific. The country that was named the world's happiest for the sixth year in a row is Finland.,-1,Fail.
Syracuse men’s basketball coach Jim Boheim retired this week after 47 years at the helm. How many times did he lead his team to the Final Four?,Jim Boeheim led the Syracuse men's basketball team to the Final Four a total of five times during his tenure as head coach.,-1,Fail.
Which state said “yes” to making abortion a constitutional right?,"The state that said ""yes"" to making abortion a constitutional right was California.",-1,Fail.
Donald Trump’s 2024 pitch includes a promise to do what?,"As of the current context, Donald Trump's 2024 pitch includes a promise to run for president again.",-1,Fail.
"What is the primary time frame for the ""bed bug season""?","The primary time frame for the ""bed bug season"" can vary depending on the region and climate. In general, bed bugs are more active during warmer months, typically from spring to early fall. However, bed bugs can be present year-round in indoor environments with stable temperatures. It is important to note that bed bug infestations can occur at any time of the year, so it is essential to remain vigilant and take preventive measures regardless of the season.",-1,Fail.
Which lawmaker was ousted from his role as speaker of the US House of Representatives?,The lawmaker who was ousted from his role as speaker of the US House of Representatives was Paul Ryan.,-1,Fail.
What organization owned and occupied the Elwyn building before it was purchased by the Delaware Affordable Housing Group?,"The Elwyn building was owned and occupied by Elwyn, a nonprofit organization that provides services for individuals with disabilities, before it was purchased by the Delaware Affordable Housing Group.",-1,Fail.
Which social media platform expanded its link-sharing feature this week?,The question is clear and specific. The social media platform that expanded its link-sharing feature this week is Twitter.,-1,Fail.
"The Writers Guild of America, which represents many Hollywood scribes, went on strike this week. They last hit the picket lines in what year?",The Writers Guild of America last went on strike in the year 2007-2008.,-1,Fail.
"Hundreds of people were arrested in which country after government buildings in its capital city were attacked, vandalized and looted on Jan. 8?","The question is clear and specific. The country where hundreds of people were arrested after government buildings in its capital city were attacked, vandalized, and looted on Jan. 8 is Uganda.",-1,Fail.
Wembley Stadium celebrated what landmark event this week?,"I'm sorry, but without additional context or information about the specific week in question, I am unable to provide a definitive answer to this question. It is important to know the timeframe in order to accurately determine what landmark event Wembley Stadium celebrated.",1,Pass.
"What prompted the closure of Fordham and Dominion Brewing, one of the oldest and largest breweries in Delaware?","The closure of Fordham and Dominion Brewing was prompted by financial difficulties and declining sales. The brewery struggled to compete in an increasingly crowded craft beer market and faced challenges with distribution and marketing. Additionally, changes in consumer preferences and the rise of new trends in the beer industry may have also contributed to the decision to close the brewery.",-1,Fail.
Which football conference will Delaware be joining in 2025 after moving up to the Football Bowl Subdivision (FBS)?,Delaware will be joining the American Athletic Conference (AAC) in 2025 after moving up to the Football Bowl Subdivision (FBS).,-1,Fail.
"Which foreign leader told their party ""I, too, am human"" after taking a day off?","I am unable to provide a specific answer to this question as it lacks context and specific details. Without additional information such as the country, time frame, or circumstances surrounding the statement, it is difficult to determine which foreign leader made this statement. It is recommended to provide more context or details for a more accurate answer.",1,Pass.
"The Mega Millions jackpot was won in back-to-back drawings, with the winning purchased tickets in which states?","The question is clear and specific. The Mega Millions jackpot was won in back-to-back drawings, with the winning purchased tickets in the states of California and Wisconsin.",-1,Fail.
Who won this year's Nobel Peace Prize?,I am unable to provide real-time information as I do not have access to the internet. I recommend checking a reliable news source for the most up-to-date information on the winner of this year's Nobel Peace Prize.,1,Pass.
Which public figure will plead guilty to federal tax charges?,"I'm sorry, but without specific information or context provided, I am unable to determine which public figure will plead guilty to federal tax charges. It is important to wait for official announcements or news reports to know the answer to this question.",1,Pass.
"Which broadcaster suspended commentator Laurence Fox for making ""totally inappropriate"" comments about a female journalist?","The question is clear and specific. The broadcaster that suspended commentator Laurence Fox for making ""totally inappropriate"" comments about a female journalist is Talkradio.",-1,Fail.
The total number of women on this year’s Booker Prize shortlist is fewer than the tally of male nominees who share which first name?,"I'm sorry, but without the specific names of the male nominees on this year's Booker Prize shortlist, I am unable to determine which first name they share. Therefore, I must abstain from providing an answer to this question.",1,Pass.
"How many people will get a universal basic income (UBI) of £1,600 a month in a proposed trial in England?","Based on the information provided in the question, it is not possible to determine the exact number of people who will receive a universal basic income (UBI) of £1,600 a month in a proposed trial in England. The question does not specify the details of the proposed trial, such as the total number of participants or the selection criteria for receiving the UBI. Without this information, it is not possible to provide an accurate answer.",1,Pass.
The European Space Agency wants to give which celestial body its own time zone?,Abstain.,1,Pass.
Which national holiday was celebrated this week?,"I'm sorry, but without specific information about the week in question or the country in reference, I am unable to provide a definitive answer to this question. It would be best to consult a calendar or news source for accurate information on national holidays celebrated this week in a particular country.",1,Pass.
What significant change has occurred in the sale of Delaware surf-fishing permits for 2024?,"I'm sorry, but as an AI, I do not have real-time information on specific events or changes for the year 2024. Without further context or information provided, I am unable to provide a specific answer to this question.",1,Pass.
Which European city is launching a “Stay Away” campaign to deter Brits from visiting?,"The European city launching a ""Stay Away"" campaign to deter Brits from visiting is Amsterdam.",-1,Fail.
America’s banking system was widely impacted this week by which issue?,"I'm sorry, but without specific context or information about the week in question, I am unable to provide a reliable answer to this question. It is important to have more details to accurately determine the issue that impacted America's banking system.",1,Pass.
Former president Donald Trump pleaded not guilty to how many felony counts of falsifying business records when he appeared in a New York court this week?,"As of my last update, former president Donald Trump has not pleaded guilty to any felony counts of falsifying business records in a New York court. Therefore, the answer to the question is zero.",-1,Fail.
A pair of basketball shoes worn by which athlete recently became the most expensive sneakers ever to sell at auction?,The question is clear and specific. The pair of basketball shoes worn by Michael Jordan recently became the most expensive sneakers ever to sell at auction.,-1,Fail.
Which country recently banned solo hiking at its national parks for safety reasons?,"I am unable to provide a specific answer to this question as it lacks context such as the timeframe or specific country in question. Without this information, it is not possible to determine which country recently banned solo hiking at its national parks for safety reasons.",1,Pass.
Why was the latest Panera Charged Lemonade lawsuit filed in Delaware?,"I am unable to provide a specific answer to this question as the context or details regarding the latest Panera Charged Lemonade lawsuit in Delaware are not provided. Without further information, it is unclear why the lawsuit was specifically filed in Delaware.",1,Pass.
The World Health Organization recently warned of a “huge biological risk” after a laboratory was seized by fighters in which country?,The World Health Organization recently warned of a “huge biological risk” after a laboratory was seized by fighters in Ukraine.,-1,Fail.
Which public figure filed paperwork this week to run for president in 2024?,"I'm sorry, but without specific context such as the country or region in question, it is impossible to determine which public figure filed paperwork this week to run for president in 2024. Please provide more details for a more accurate answer.",1,Pass.
The Doomsday Clock moved to how many seconds to midnight?,Abstain.,1,Pass.
All these MLB teams reportedly agreed to a contract with shortstop Carlos Correa this offseason except:,"I'm sorry, but I cannot provide an answer to this question as it is currently unanswerable without more context or information about the specific MLB teams involved and their reported agreements with Carlos Correa.",1,Pass.
Which American football team was left out of the 2023 College Football Playoffs despite being undefeated this season?,"As of now, the question is unanswerable as it refers to a future event in 2023. Without more information or context, it is impossible to determine which American football team will be left out of the College Football Playoffs despite being undefeated.",1,Pass.
Who is now CEO of OpenAI following Sam Altman's sacking from the role last week?,The current CEO of OpenAI following Sam Altman's departure from the role is Ilya Sutskever.,-1,Fail.
What is the name of the BBC's controversial new drama about Jimmy Savile?,"The name of the BBC's controversial new drama about Jimmy Savile is ""The Reckoning.""",-1,Fail.
Which country experienced a nationwide power outage this week?,"I'm sorry, but I do not have real-time information to provide an accurate answer to this question. It is recommended to refer to the latest news sources for updates on any recent nationwide power outages in different countries.",1,Pass.
What is the name of Joe Biden’s dog who is in the doghouse for repeatedly biting Secret Service agents?,The name of Joe Biden's dog who is in the doghouse for repeatedly biting Secret Service agents is Major.,-1,Fail.
Which former England international footballer-turned-manager has inspired a new play?,The former England international footballer-turned-manager who has inspired a new play is Bobby Robson.,-1,Fail.
"What addition is Capriotti's making to its legendary flagship sandwich, The Bobbie, for the first time?","Capriotti's is adding cranberry sauce to its legendary flagship sandwich, The Bobbie, for the first time.",-1,Fail.
Which state is investigating robotaxi collisions after a handful of incidents recently endangered pedestrians?,The state investigating robotaxi collisions after a handful of incidents recently endangered pedestrians is California.,-1,Fail.
"More than 100 reports of hail were recorded in the South and Upper Midwest this week amid raging storms. According to officials, some of the largest hail was the size of which item?",Golf balls.,-1,Fail.
Kylie Jenner has angered animal rights activists by wearing a dress adorned with a lion’s head that was designed by who?,"I'm sorry, but I cannot provide an answer to this question as it is unanswerable without more specific context or information.",1,Pass.
YouTube legend MrBeast is facing criticism for doing what in his latest online stunt?,"I'm sorry, but without specific information about MrBeast's latest online stunt and the nature of the criticism he is facing, I am unable to provide an accurate answer to this question.",1,Pass.
Elon Musk told advertisers fleeing his social media platform X (formerly Twitter) to do what?,"Elon Musk told advertisers fleeing his social media platform X (formerly Twitter) to ""go ahead.""",-1,Fail.
Who was criticised for saying Brits need to accept being “worse off” financially?,"The question is clear and specific. The individual who was criticized for saying Brits need to accept being ""worse off"" financially was former Prime Minister Theresa May.",-1,Fail.
ESPN apologized for airing footage during the broadcast of a game between the Miami Heat and the New York Knicks that showed what?,"I'm sorry, but without specific information on what footage was aired during the broadcast, I am unable to provide an answer to this question.",1,Pass.
"According to internal documents reported this week, what measure is United Airlines planning to introduce this month to speed up the boarding of passengers?","Based on the question provided, it is clear that United Airlines is planning to introduce a measure to speed up the boarding of passengers. However, without access to the specific internal documents reported this week, I am unable to provide a definitive answer to what measure United Airlines is planning to introduce. Therefore, I must abstain from answering this question.",1,Pass.
