question,answer
What single type of rock formed Greenstone belts?,"Greenstone belts are formed by volcanic island arcs and deep-sea sediments eroded from neighboring island arcs, which then deposited in a forearc basin."
"Besides parking requirements, what land use regulations does Texas have?","In addition to parking requirements, Texas has land use regulations such as mandatory lot size for single-family houses and requirements for parking availability to tenants and customers. These regulations have had mixed results, with some attributing low density and urban sprawl to them, while others credit them with providing significant affordable housing and protecting against the effects of the 2008 real estate crisis."
What title is given to the newest member of the order of cardinal priests?,The title given to the newest member of the order of cardinal priests is cardinal protopriest.
Who created the Avengers?,"The Avengers were created by writer Stan Lee and artist Jack Kirby, and made their first appearance in ""The Avengers"" #1 comic book in September 1963."
When was FLNG technology created?,FLNG technology is based on liquefied natural gas (LNG) developments that were pioneered in the mid-20th century.
What company was dissolved before the Indian Rebellion?,The company that was dissolved before the Indian Rebellion was the British East India Company.
What kind of vowels have no distinction in Old English?,"It appears that the question is based on a misunderstanding. In Old English, all vowels had distinctions. If you need information on Old English phonetics or have a different question, I’d be happy to help."
When did ITU-R start trying to work towards setting a single international DVD standard?,"The question is not answerable as it pertains to the establishment of a single international DVD standard, which is not mentioned in the provided context. The context specifically discusses the efforts of ITU-R towards setting a single international HDTV standard in the 1980s."
What is the official name of the Red Book?,The official name of the Red Book is Compact Disc Digital Audio (CD-DA).
Which languages are not considered to be related to the Italian Tuscon language?,"The languages that are not considered to be related to the Italian Tuscan language are Sardinian, Gallurese, Sassarese, Corsican, Ligurian, and Algherese."
Why does Windows RT only work with apps excluded with the system?,"Windows RT only works with apps that are included with the system or downloaded from the Windows Store because it is designed to run on systems with ARM processors. This limitation ensures that the applications are optimized for the architecture of the system. Windows RT does not support running IA-32 or x64 applications, so it only allows apps that are specifically designed for ARM processors."
"Under the Parliament Acts of 1917 and 1949, the House of Commons may do what?","Under the Parliament Acts of 1917 and 1949, the House of Commons may direct that a bill be presented for royal assent despite lack of passage by the House of Lords."
 Which year was used for estimates in the 2004 report?,"The estimates used in the 2004 report were likely for the year 2003, as the Human Development Report typically calculates HDI values based on estimates for the previous year."
Through what process is it thought that the first architectural achievements were not made?,"It is thought that the first architectural achievements were not made through a formalized or planned process, but rather through a process of trial and error. As results proved satisfactory, there was less trial and more replication, leading to architectural success. This process is believed to have eventually resulted in what is termed vernacular architecture, which continues to be produced in many parts of the world."
What are parts of the Upper Moravia sometimes considered?,"Parts of Upper Moravia are sometimes considered Czech, Moravian, or Polish."
How many corps did the Byzantines have?,"The Byzantines had five corps: the centre, two wings, vanguards, and rearguards, following the same formation while on march or on a battle field."
Which European chef is The 1845 Room named after?,The 1845 Room is named after European chef Antonin Carême.
How did James define reality?,"James defined reality as being determined by past experience. He believed that humans adapt their past experiences of things to perform experiments and test the pragmatic values of such experiences. The value of these experiences is measured experientially and scientifically, and the results of tests generate ideas that serve as instruments for future experimentation in physical sciences and ethics. Ideas in James' system retain their empiricist flavor as they are only known a posteriori."
What was transported along the rovers and canals of northern Mesopotamia?,Trade goods were transported along the rovers and canals of northern Mesopotamia during the Uruk period.
Underwood dynasty was old Persian the official language?,"No, the official language under the Sasanian dynasty in Iran was Middle Persian (Pahlavi), not Old Persian. Old Persian was used during the Achaemenid Empire, which preceded the Sasanian dynasty."
The least common standard test configuration procedure is what?,The least common standard test configuration procedure in boundary scan testing is the Joint Test Action Group (JTAG) standard.
 When did Oregon reject the death penalty?,"Oregon rejected the death penalty in a 1964 public referendum, but it was reinstated in a 1984 joint death penalty/life imprisonment referendum."
What group speaks a number of Western Iranian languages?,The Pamiri people speak a number of Eastern Iranian languages.
What has only a 1x write speed?,The context provided indicates that the original ReWritable CD has only a 1x write speed due to technical limitations.
What section of What's New can show links to websites?,"The section of ""What's New"" that can show links to websites is the ""latest information"" section. This section can contain website links, along with links to play videos and access to selected sections of the PlayStation Store."
What accounts for nearly all the remaining graffiti consumption?,"The question is not answerable as it pertains to graffiti consumption, which is not mentioned in the provided context. The context specifically discusses the various uses of asphalt/bitumen, with roofing shingles accounting for most of the consumption. If you have a different question or need more information, feel free to ask."
What can predict its own future states of knowledge? ,"According to the context provided, it is stated that ""no society can predict, scientifically, its own future states of knowledge."" Therefore, the entity that can predict its own future states of knowledge is no society, as societies cannot predict their own future states of knowledge."
What aren't contracts?,"Contracts are not physical objects or legal agreements in this context. In Windows 8, ""contracts"" refer to a collection of hooks that provide common functionality for apps to integrate with other apps, including search and sharing."
When did Judah first become an independent kingdom?,"Judah first became an independent kingdom after the fall of the United Monarchy, when the land was divided into Israel and Judah. Judah ceased to be an independent kingdom in 586 BC when it was conquered by Nebuchadnezzar II, King of the Neo-Babylonian Empire."
What does having more protein coding genes not mean?,"Having more protein coding genes does not necessarily mean a larger genome size. In fact, the proportion of non-repetitive DNA, which includes protein-coding genes, decreases as genome size increases in higher eukaryotes."
What invaders are causing invasive plants in the Great Lakes region?,The invaders causing invasive plants in the Great Lakes region include zebra mussels and the emerald ash borer.
"On the day of the event, the President of the Senate reads to whom?","On the day of the event, the President of the Senate reads to the chamber a notice from the secretary to the governor general indicating when the viceroy or a deputy thereof will arrive."
What happened in 1899?,"In 1899, Charles Pollak discovered that the oxide layer on an aluminum anode remained stable in a neutral or alkaline electrolyte even when the power was switched off."
How do you say Hebrew in French?,"In French, the word for Hebrew is ""juif."""
What riffs were combined to create swing?,"The question is not answerable based on the provided context. The context discusses the evolution of heavy metal music and its differentiation from hard rock, but does not mention the combination of riffs to create swing. If you have a different question or need more information, feel free to ask."
How many drugs were approved in 2012?,"In 2012, the rate of approval for new drugs was reported to be a relatively stable average rate of 15 to 25."
"Before World War II, what regions remain part of Ukraine?","Northern Bukovina, Southern Bessarabia, and Hertza were the regions that remained part of Ukraine before World War II."
Why did the ECC reject systems such as MUSE?,"The ECC rejected systems such as MUSE due to their higher bandwidth requirements. With the rapid growth of television channels and bandwidth already being a problem, a new standard for HDTV needed to be more efficient and require less bandwidth than the existing NTSC standard."
How many Slavs lived in Czechoslovakia?,"As of 1878, there were approximately 23 million Slavs living in the Austro-Hungarian Empire, which had a total population of around 50 million people."
What are some of the consequences of earning a Show Up?,"Some consequences of earning a Show Up in the context provided include receiving a ""White Ticket"" that must be signed by all teachers, doing domestic chores, writing lines, and potentially facing other punishments. Additionally, a milder form of the rip called 'sign for information' or an ""info"" has been introduced in recent times."
Where did most of the pilgrims come from?,Most of the pilgrims who visited Virgil's tomb in the Middle Ages came from various places seeking miraculous powers associated with the poet.
When was the Cooperative Baptist Fellowship destroyed?,The question is based on a misunderstanding. The Cooperative Baptist Fellowship was not destroyed; it was formed in 1991 by moderate Southern Baptists who disagreed with the direction of the Southern Baptist Convention.
What's been released in North America with Japanese subtitles?,Digimon Story: Cyber Sleuth has been released in North America with Japanese subtitles.
When was Jesus presented in a temple?,"Jesus was presented in the temple as a toddler, along with her Presentation in the Temple."
What coast did Hernando de Soto not find?,"Hernando de Soto did not find the coast of Pensacola, Florida."
As of when did Christianity have about 2.4 million adherents?,"As of the early 21st century, Christianity had approximately 2.4 billion adherents."
What is another name for the data being possessed? ,"The data being passed between various units or subsystem components can also be referred to as ""message packets."""
What animal was added in 2008?,The animal added in 2008 was the Virginia northern flying squirrel (subspecies).
What is happening to Orthodox Jewish communities because of intermarriage?,"Orthodox Jewish communities are not experiencing the negative effects of intermarriage that are affecting the general American Jewish community. In fact, intermarriage among Orthodox Jews is practically non-existent, standing at about 2%. This, along with a high fertility rate and growing retention rate, is contributing to the rapid growth of Orthodox Jewish communities in the United States."
In what year was Dorney Lake built?,Dorney Lake was built in preparation for the London 2012 Summer Olympic Games and Paralympic Games.
What document was written by Edward I in 1297?,The document written by Edward I in 1297 is the Magna Carta.
How long is Wilshire Blvd.?,"The length of Wilshire Blvd. is not explicitly stated in the provided context. If you need information on the length of Wilshire Blvd. or have a different question, I’d be happy to help."
The Protestant Reformation isn't attributed to what two developments that resulted from the invention of printing?,"The Protestant Reformation is attributed to the developments of the invention of printing, which facilitated the dissemination of the printed word and democratized learning."
What was the worth Greece's shipping services lost in 2011?,"In 2011, Greece's shipping services were worth 17,704.132 million US$."
What began to happen to universities in the 1500's?,"During the 1500s, universities in Europe began to see a significant amount of growth and expansion. Twenty-eight new universities were created during this time period, with another eighteen added between 1500 and 1625. This growth continued until the end of the 18th century, resulting in approximately 143 universities in Europe and Eastern Europe. This marked a substantial increase in the number of universities compared to the end of the Middle Ages."
What color did some women in Jerusalem like to wear?,"The question is not answerable based on the provided context as it does not mention any specific color that some women in Jerusalem liked to wear. If you have a different question or need more information, feel free to ask."
The Northern Ireland Executive and what other entity meet as the East/West Ministerial Council?,The Northern Ireland Executive and the Government of Ireland meet as the East/West Ministerial Council.
In what year did Gough Whitlam become prime minister of Australia?,Gough Whitlam became the Prime Minister of Australia in 1972.
When did Elliott Management's financing deal expire?,Elliott Management's financing deal with Universal expired in 2013.
The second largest deal in recorded music history was worth how much?,"The second largest deal in recorded music history was worth more than $250 million, as the largest deal in recorded music history was the partnership between Sony Corp and The Michael Jackson Company in March 2010 for a contract of more than $250 million."
When are other medical conditions address?,Other medical conditions should ideally be addressed and managed optimally before starting cardiac rehabilitation. This will help ensure that the individual can fully participate in the program and receive the maximum benefits.
What policy did the company cancel after 2007?,The company cancelled the review of its investments to assess social responsibility after 2007.
How many students attend the Bath Teacher Training School?,"The Bath Teacher Training School is not specifically mentioned in the context provided. However, the Bath Teacher Training College is mentioned as one of the origins of Bath Spa University. The Bath Teacher Training College is one of the origins of Bath Spa University, which has 5,500 students."
What website was created in 2009 that was developed by the public?,The website that was created in 2009 and developed by the public is the Flickr photostream launched by the National Archives to share portions of its photographic holdings with the general public.
What is the secondary theme of the Centre Room?,"The secondary theme of the Centre Room is a Chinese-style theme, enhanced by Queen Mary in the late 1920s. This theme was created in collaboration with designer Sir Charles Allom and features elements such as lacquer doors, porcelain pagodas, and other oriental furniture."
How much was stolen by overseas arms contractors?,"At least £3.5m was stolen by overseas arms contractors through corrupt payments to Gordon Foxley, head of defence procurement at the Ministry of Defence from 1981 to 1984."
