question,answer,reference,label,judgement
How many premier league teams make champions league?,"In the current format of the UEFA Champions League, the top four teams in the English Premier League qualify for the tournament. These teams earn qualification based on their final league position at the end of the season.","Disambiguation 1. Question: How many premier league teams qualify for champions league group stage in the subsequent season? Answer:top four teams
Disambiguation 2. Question: How many premier league teams could qualify for the champions league if different teams also win the UEFA Champions League and UEFA Europa League? Answer:five
",1,Pass.
What type of breed is an american bulldog?,"The American Bulldog is a breed of working dog that originated in the United States. They are known for their strength, loyalty, and protective nature.","Disambiguation 1. Question: What size breed is an american bulldog? Answer:large
Disambiguation 2. Question: What is the function of the American Bulldog breed? Answer:Utility dog
",-1,Fail.
When was the new york safe act passed?,"The New York SAFE Act was passed on January 15, 2013.","Disambiguation 1. Question: When was the New York safe act passed by the senate? Answer:January 14, 2013
Disambiguation 2. Question: When was the New York safe act passed by the New York State Assembly? Answer:January 15, 2013
",-1,Fail.
How many brands of e cigarettes are there?,"There are numerous brands of e-cigarettes available on the market, with new ones constantly being introduced. Some popular brands include Juul, Vuse, Blu, NJOY, and Logic, among many others. The exact number of brands may vary and change over time as the industry evolves.","Disambiguation 1. Question: How many brands of e cigarettes are there in 2014? Answer:more than 460
Disambiguation 2. Question: How many brands of growth e cigarettes have every month? Answer:10.5
",-1,Fail.
How many countries are there in west africa?,"There are 16 countries in West Africa. These countries are Benin, Burkina Faso, Cape Verde, Ivory Coast, Gambia, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Mauritania, Niger, Nigeria, Senegal, Sierra Leone, and Togo.","Disambiguation 1. Question: How many official countries are there in West Africa? Answer:16
Disambiguation 2. Question: How many official countries are there in West Africa, if you include the United Kingdom Overseas Territory of Saint Helena, Ascension and Tristan da Cunha? Answer:17
",-1,Fail.
Who has the most points in nba finals history?,LeBron James currently holds the record for the most points scored in NBA Finals history.,"Disambiguation 1. Question: Who has the most points in one game in NBA finals history? Answer:Elgin Baylor
Disambiguation 2. Question: Who has the most total points in NBA finals history? Answer:Jerry West
Disambiguation 3. Question: What team has the most points in one game in NBA finals history? Answer:Boston Celtics
",-1,Fail.
Hottest pepper in the world on scoville scale?,"The hottest pepper in the world on the Scoville scale is the Carolina Reaper, which has an average rating of over 1.6 million Scoville Heat Units (SHU).","Disambiguation 1. Question: Unconfirmed, what is the hottest pepper in the world on the scoville scale? Answer:Pepper X
Disambiguation 2. Question: Confirmed by Guinness World Records, what is the hottest chili pepper in the world on the scoville scale? Answer:Carolina Reaper
",1,Pass.
Who has the most strikeouts in a career?,"As of September 2021, the player with the most strikeouts in a career in Major League Baseball history is Nolan Ryan, with a total of 5,714 strikeouts.","Disambiguation 1. Question: What MLB pitcher has the most strikeouts in a career? Answer:Nolan Ryan
Disambiguation 2. Question: What MLB batter has the most strikeouts in a career? Answer:Reggie Jackson
Disambiguation 3. Question: What NCAA Division I softball pitcher has the most strikeouts in a career? Answer:Monica Abbott
",-1,Fail.
How many teams qualify for the world cup from concacaf?,"The number of teams that qualify for the World Cup from the CONCACAF region varies depending on the edition of the tournament. Typically, three to four teams from the CONCACAF region qualify for the FIFA World Cup.","Disambiguation 1. Question: How many teams qualify for the world cup from concacaf in 2014? Answer:four
Disambiguation 2. Question: How many teams qualify for the world cup from concacaf in 2010? Answer:three
Disambiguation 3. Question: How many teams qualify for the world cup from concacaf in 2006? Answer:four
Disambiguation 4. Question: How many teams automatically qualify for the world cup from concacaf in general? Answer:three
",1,Pass.
When is world water day celebrated and why?,World Water Day is celebrated on March 22nd every year. It is a day designated by the United Nations to bring attention to the importance of freshwater and advocating for the sustainable management of freshwater resources. The first World Water Day was celebrated in 1993 and has since been observed annually to raise awareness about water-related issues and promote actions to ensure access to clean water for all.,"Disambiguation 1. Question: What day is World Water Day celebrated? Answer:22 March
Disambiguation 2. Question: Why is World Water Day celebrated? Answer:highlights the importance of freshwater
",1,Pass.
