question,answer
What is the organic compound in turkey that often gets the blame for making you sleepy after Thanksgiving dinner?,The organic compound in turkey that often gets the blame for making you sleepy after Thanksgiving dinner is called tryptophan.
"Before he won this week, how many times had NASCAR driver Ricky Stenhouse Jr. taken home the Daytona 500 championship title?",Ricky Stenhouse Jr. has never won the Daytona 500 championship title before this week.
Which three-Michelin-starred restaurant said to be the world’s best is closing because of ‘unsustainable’ economics?,The three-Michelin-starred restaurant that is said to be the world's best and is closing due to 'unsustainable' economics is Eleven Madison Park in New York City.
A new study found that which UK city is the “gloomiest” in the UK?,Glasgow
"Diane Abbott suggested in a letter to which newspaper that Jewish, Irish and Traveller people are not “all their lives subject to racism”?",The Guardian
Which news organization this week agreed to the largest publicly known defamation settlement in US history?,The news organization that this week agreed to the largest publicly known defamation settlement in US history is The Washington Post.
NASA says an asteroid could hit Earth on what holiday in 2046?,NASA says an asteroid could hit Earth on the holiday of April Fools' Day in 2046.
Erin Brockovich has urged locals of a town in which US state to ignore government safety reassurances after a train carrying toxic waste derailed there?,California
"Which toy will no longer be sold by Amazon, Target and Walmart due to safety concerns?","The toy that will no longer be sold by Amazon, Target, and Walmart due to safety concerns is the Fisher-Price Rock 'n Play Sleeper."
What is the predicted record amount of consumer spending on Halloween costumes and decorations for the 2023 season?,The predicted record amount of consumer spending on Halloween costumes and decorations for the 2023 season is estimated to be around $11.1 billion.
Which classic British television comedy is to be revived?,"The classic British television comedy to be revived is ""The Office."""
South Africa holds a total of how many Rugby World Cup titles after beating New Zealand in this year's tournament final?,South Africa holds a total of three Rugby World Cup titles after beating New Zealand in this year's tournament final.
Which unlikely trade is reportedly losing jobs to AI bots?,The unlikely trade reportedly losing jobs to AI bots is the art of sushi making.
"Which major tech company announced 10,000 job cuts this week?","IBM announced 10,000 job cuts this week."
Which national holiday was celebrated this week?,Independence Day
Mattel said it is planning a relaunch of the Barney franchise. The dinosaur was originally featured in a PBS series that began in which year?,"The Barney franchise originally began in 1992 with the premiere of the PBS series ""Barney & Friends."""
New York City’s new “rat czar” Kathleen Corradi previously worked as what?,Kathleen Corradi previously worked as a deputy commissioner at the New York City Department of Health and Mental Hygiene.
A Spanish TV star sparked controversy by using whose sperm for her surrogate baby?,Cristiano Ronaldo
Which national leader claimed the UN was “losing credibility” as the intergovernmental organisation’s annual assembly kicked off in New York City?,"The national leader who claimed the UN was ""losing credibility"" at the annual assembly in New York City was President Donald Trump of the United States."
"Which member of the UK shadow cabinet branded Suella Braverman as ""out of control"" after the home secretary publicly criticised the Met Police?",Lisa Nandy
Which high-profile billionaire has gained a place in the Guinness Book of World Records for ‘largest ever loss of personal wealth’?,Jeff Bezos
"Which city is home to the best drinking spot anywhere, according to the latest World's 50 Best Bars list?","London, United Kingdom"
Dwayne “The Rock” Johnson announced this week an upcoming live-action remake of which animated film?,"Dwayne ""The Rock"" Johnson announced this week an upcoming live-action remake of the animated film ""The Lion King."""
Which route has been completely canceled by Avelo Airlines?,"Avelo Airlines has completely canceled its route between Hollywood Burbank Airport (BUR) in California and Charles M. Schulz–Sonoma County Airport (STS) in Santa Rosa, California."
"King Charles III ascended to the throne in England after the death of his mother, Queen Elizabeth II. His coronation ceremony was held at London’s Westminster Abbey. Who is next in line after King Charles?","Prince William, Duke of Cambridge, is next in line after King Charles III."
Which musician is being praised for giving “life-changing” bonuses to her truck drivers?,Dolly Parton
"Several powerful tornadoes struck the US this week, leaving thousands without power and some trapped inside shelters. Which state appeared to be the hardest hit?",The state that appeared to be the hardest hit by the powerful tornadoes in the US this week was Kentucky.
"What were the charges that Camden's former mayor, Justin T. King, pleaded guilty to in the plea deal related to the February incident?","Justin T. King, Camden's former mayor, pleaded guilty to charges of wire fraud and filing a false tax return in the plea deal related to the February incident."
"Men who use what more than 20 times a day have a higher risk of low sperm count, according to a new study?","Men who use their smartphones more than 20 times a day have a higher risk of low sperm count, according to a new study."
Pupils at an independent school in North London have voted to make what change to their lunches?,To make their lunches completely vegetarian.
NFL safety Damar Hamlin was hospitalized this week after suffering a cardiac arrest during a game on Monday. What team does he play for?,Damar Hamlin plays for the Pittsburgh Steelers.
"Scientists have warned that a 5,000-mile-long mass of what species of seaweed is drifting towards Florida’s coast?","Scientists have warned that a 5,000-mile-long mass of Sargassum seaweed is drifting towards Florida's coast."
What was the final score in the penalty shoot-out for the FA Community Shield last weekend?,The final score in the penalty shoot-out for the FA Community Shield last weekend was 5-4 in favor of Liverpool.
Which US President signed a bill making Juneteenth a federal holiday?,Joe Biden
Which football conference will Delaware be joining in 2025 after moving up to the Football Bowl Subdivision (FBS)?,Delaware will be joining the Sun Belt Conference in 2025 after moving up to the Football Bowl Subdivision (FBS).
True or false: Travelers from China to the U.S. are no longer required to present a negative COVID-19 test before boarding their flights.,False. Travelers from China to the U.S. are still required to present a negative COVID-19 test before boarding their flights.
What is the name of the new Covid variant triggering a surge of infections in India?,The name of the new Covid variant triggering a surge of infections in India is the Delta variant.
"Italy’s Supreme Court has ordered a city council in Lombardy to pay a couple €50,000 (£43,000) for failing to safeguard them against what?",Flooding.
What was the name of the country music festival where the deadliest mass shooting in American history occurred?,The name of the country music festival where the deadliest mass shooting in American history occurred was the Route 91 Harvest Festival.
Which celebrity recently broke the internet by showing off a baby bump?,Kylie Jenner
The Biden administration is monitoring a potentially major labor strike brewing in which industry?,The Biden administration is monitoring a potentially major labor strike brewing in the healthcare industry.
A Food and Drug Administration advisory committee endorsed over-the-counter sales of what drug this week?,"The Food and Drug Administration advisory committee endorsed over-the-counter sales of the drug Plan B, also known as the morning-after pill, this week."
Australia beat England by two wickets in a thrilling first Test of the men’s Ashes series that was played where?,"The first Test of the men's Ashes series between Australia and England was played at the Gabba in Brisbane, Australia."
"A member of which band said he used artificial intelligence to create his iconic group's ""last record""?","Brian Eno, a member of the band Roxy Music, said he used artificial intelligence to create the band's ""last record""."
"Which sports brand faced a backlash after claiming its £45 trainers for babies ""help promote natural foot development""?",Nike
People around the world showed their support for World Lupus Day by wearing which color?,Purple
Which pop icon will embark on her 40th anniversary tour this year?,Madonna
"What inspired Thomas Jackson to start his clothing line, ""Carry My Own Weight""?","Thomas Jackson was inspired to start his clothing line, ""Carry My Own Weight,"" after overcoming personal struggles and challenges in his life. He wanted to create a brand that promoted self-reliance, empowerment, and resilience, encouraging individuals to take control of their own lives and destinies. The name ""Carry My Own Weight"" symbolizes the idea of shouldering one's own burdens and responsibilities, and not relying on others to do it for them."
Which countries will host matches in the unprecedented six-nation 2030 FIFA World Cup?,"The unprecedented six-nation 2030 FIFA World Cup will be hosted by Argentina, Uruguay, Paraguay, and Chile in South America, as well as by Spain and Portugal in Europe."
Which former “Friends” cast member received a star on the Hollywood Walk of Fame during a ceremony this week?,Jennifer Aniston
Earth saw its hottest day on record this week. What was the global temperature on Tuesday that exceeded all previous records?,The global temperature on Tuesday that exceeded all previous records was 130 degrees Fahrenheit.
Ukrainian President Volodymyr Zelenskyy made his second known trip outside Ukraine since Russia's invasion this week. Where did he go?,Volodymyr Zelenskyy made his second known trip outside Ukraine since Russia's invasion to the United Arab Emirates.
Which country was devastated by an unprecedented attack this week by the Hamas militant group?,Israel
Memorial Day weekend is upon us. Which movie is considered to be the first summer blockbuster?,"""Jaws"" is considered to be the first summer blockbuster movie. Released in 1975 and directed by Steven Spielberg, it set the standard for the modern blockbuster and became a cultural phenomenon."
"What is the primary issue discussed in the article "" 'Beats living on the streets:' The Delawareans who call motels home during the holidays""?","The primary issue discussed in the article "" 'Beats living on the streets:' The Delawareans who call motels home during the holidays"" is the issue of homelessness and the challenges faced by individuals and families who are living in motels as a temporary housing solution during the holiday season."
What was the final score in last weekend's Premier League classic clash between Chelsea and Manchester City?,The final score in last weekend's Premier League classic clash between Chelsea and Manchester City was 2-1 in favor of Chelsea.
"On July 4, 1776, the Continental Congress adopted the Declaration of Independence at a meeting in which city?",Philadelphia
Around what percentage of Americans get their flu shot each year?,Approximately 45-50% of Americans get their flu shot each year.
This week marked 50 years since which major technological milestone?,"The major technological milestone that marked its 50th anniversary this week is the Apollo 11 moon landing, which took place on July 20, 1969."
YouTube legend MrBeast is facing criticism for doing what in his latest online stunt?,"In his latest online stunt, YouTube legend MrBeast is facing criticism for planting 20 million trees as part of a fundraising campaign called #TeamTrees. Critics argue that the environmental impact of planting non-native trees in certain areas could potentially do more harm than good."
Which country experienced a nationwide power outage this week?,India
Which war-torn region have UN officials recently described as “apocalyptic” with “no place safe to go?”,Yemen
Which Supreme Court justice – already in hot water over gifts from a donor – was found to have claimed income from a defunct real estate firm?,Justice Clarence Thomas
What percentage of British adults think that King Charles is doing a “good job” as monarch?,"As of the latest survey data, approximately 70% of British adults think that King Charles is doing a ""good job"" as monarch."
Which movie theater chain announced plans to price tickets based on seat location within the auditorium?,AMC Theatres announced plans to price tickets based on seat location within the auditorium.
"More than 70,000 festival attendees were stranded in the Nevada desert when torrential rain overwhelmed their campsites with ankle-deep mud. What was the name of the festival?",Burning Man
King Charles reportedly said that the “secret” to a good kebab is what?,"The ""secret"" to a good kebab, according to King Charles, is to use only the finest cuts of meat and to marinate them in a blend of spices for at least 24 hours before grilling."
"According to early polling, which candidate appears to be the most likely Republican nominee in next year’s presidential election?","As of now, early polling suggests that former President Donald Trump is the most likely Republican nominee in next year's presidential election."
"On what date did Randon Wilkerson brutally attack Delmar Police Cpl. Keith Heacook, leading to his death?","Randon Wilkerson brutally attacked Delmar Police Cpl. Keith Heacook on April 25, 2021, leading to his death."
"More than half of US adults claim to have been visited by what in a dream, according to a new survey?",A deceased loved one
"While historical accounts of what was eaten at the first Thanksgiving vary, which food was definitely not on the menu?",Potatoes.
"President Abraham Lincoln’s famous Gettysburg Address in 1863 during the height of the Civil War begins, “Four score and seven years ago …” How long is a score?","A score is equal to 20 years. So, four score and seven years ago would be 87 years ago."
The protection provided by Covid-19 vaccines begins to wane after how many months?,The protection provided by Covid-19 vaccines begins to wane after around 6 to 8 months.
The RSPCA issued a warning about a rise in escapes by which increasingly popular exotic pets?,"The RSPCA issued a warning about a rise in escapes by sugar gliders, which are increasingly popular exotic pets."
"Which state is now home to America’s highest gas prices, taking the crown from California?",Hawaii
Elon Musk said he’s cut approximately how much of Twitter’s staff?,Elon Musk said he's cut approximately 9% of Twitter's staff.
"The CDC declared measles was eliminated from the US in 2000. However, a new case was reported this week in which state?",The new case of measles was reported this week in the state of New Hampshire.
"Which type of structure recently collapsed in India, trapping dozens of workers?","A building under construction collapsed in India, trapping dozens of workers."
New research found that which UK coffee chain brews up the most caffeine-packed cappuccinos?,Costa Coffee
America’s banking system was widely impacted this week by which issue?,The issue that widely impacted America's banking system this week was the collapse of a major financial institution.
Where did the Pilgrims celebrate the first Thanksgiving?,"The Pilgrims celebrated the first Thanksgiving in Plymouth, Massachusetts."
Which film star is on trial in Utah over a “hit and run” skiing accident?,Matthew McConaughey
Customs agents at a Minnesota airport seized a box of giraffe poo from a woman who wanted to use the droppings to make what?,The woman wanted to use the giraffe poo to make paper.
What is the significance of Barratt’s Chapel and Cemetery?,"Barratt's Chapel and Cemetery is significant as the birthplace of American Methodism. It was at Barratt's Chapel in Frederica, Delaware, that the Methodist Episcopal Church was officially organized in 1784. The chapel and cemetery serve as important historical landmarks in the development of Methodism in the United States."
A major strike this week halted classes for more than a half million students in which city?,Chicago
Which invasive host tree appears to be the preferred choice for spotted lanternflies to lay their egg masses on?,The invasive host tree that appears to be the preferred choice for spotted lanternflies to lay their egg masses on is the Tree of Heaven (Ailanthus altissima).
Tens of thousands of people in China have left their homes in the past several days due to which damaging weather event?,Tens of thousands of people in China have left their homes in the past several days due to the damaging weather event of Typhoon In-Fa.
