question,answer,reference
What was the average life expectancy in the roman empire?,"The question is ambiguous because the Roman Empire existed for a long period of time and life expectancy varied greatly depending on factors such as social class, location, and time period within the empire. If we consider the average life expectancy across the entire Roman Empire, it is estimated to have been around 25-30 years old.","Disambiguation 1. Question: What was the average life expectancy in the roman empire before infant mortality is factored out? Answer:25
Disambiguation 2. Question: What was the average life expectancy in the roman empire after infant mortality is factored out? Answer:late-50s
"
What is the name of the shortbread girl scout cookie?,The name of the shortbread Girl Scout cookie is Trefoils.,"Disambiguation 1. Question: What is the name of the shortbread girl scout cookie with lemon icing? Answer:Lemonades
Disambiguation 2. Question: What is the name of the shortbread girl scout cookie made in the shape of the Girl Scout trefoil? Answer:Shortbread
Disambiguation 3. Question: What is the name of the shortbread girl scout cookie dipped in fudge? Answer:Thanks-A-Lot
Disambiguation 4. Question: What is the name of the discontinued shortbread girl scout cookie dipped in chocolate? Answer:The LBB version of Thanks-A-Lot
Disambiguation 5. Question: What is the name of the discontinued shortbread girl scout cookie with cinnamon topping? Answer:Cafe Cookies
Disambiguation 6. Question: What is the name of the discontinued shortbread girl scout cookie with embossed chalet picture? Answer:Chalet Creme
Disambiguation 7. Question: What is the name of the discontinued shortbread girl scout cookie with chocolate chips? Answer:Chocolate Chip Shortbread
Disambiguation 8. Question: What is the name of the discontinued shortbread girl scout cookie in two different flavors? Answer:Medallions
Disambiguation 9. Question: What is the name of the discontinued shortbread girl scout cookie with sprinkled sugar? Answer:Scot-Teas
"
Where does sniper ghost warrior 3 take place?,"The question is ambiguous as it could be interpreted in two ways. Sniper Ghost Warrior 3 takes place in the country of Georgia, not the U.S. state.","Disambiguation 1. Question: Where does sniper ghost warrior 3's first mission to destroy a stockpile take place? Answer:Russian-Ukrainian border
Disambiguation 2. Question: Where does sniper ghost warrior 3 take place after the two year time skip? Answer:Republic of Georgia
"
What's donnas real name from that 70's show?,"Donna's real name from ""That '70s Show"" is Donna Pinciotti.","Disambiguation 1. Question: What's donnas full name from that 70's show? Answer:Donna Pinciotti
Disambiguation 2. Question: Who plays donna from that 70's show? Answer:Laura Prepon
"
When did the united states and britain become allies?,"The question is ambiguous as it does not specify a particular time period. The United States and Britain have been allies at various points in history, including during World War II and in the present day. If you are referring to the formation of the alliance during World War II, the United States and Britain officially became allies with the signing of the Atlantic Charter in August 1941.","Disambiguation 1. Question: When did the United States and Britain become trade allies? Answer:1783
Disambiguation 2. Question: When did the United States and Britain begin to become political allies? Answer:1895
"
Who plays maya on bold and the beautiful?,"The question is not ambiguous. The character of Maya Avant on ""The Bold and the Beautiful"" is played by actress Karla Mosley.","Disambiguation 1. Question: Who played Maya Avant on the Bold and the Beautiful (TV serial)? Answer:Karla Moseley
Disambiguation 2. Question: Who played a one off character named Maya on October 21, 2012 on the Bold and the Beautiful (TV serial)? Answer:Karen Kim
"
When does the new maze runner 3 come out?,"The question is ambiguous because it does not specify which release date is being referred to - the theatrical release date, the digital release date, or the DVD release date. 

If you are referring to the theatrical release date of ""Maze Runner: The Death Cure"" (the third movie in the Maze Runner series), it was released on January 26, 2018. 

If you are asking about the digital or DVD release date, please specify so I can provide the accurate information.","Disambiguation 1. Question: When does the new maze runner 3 film come out in the US? Answer:January 26, 2018
Disambiguation 2. Question: When does the new maze runner 3 film come out in Seoul? Answer:January 11, 2018
Disambiguation 3. Question: When does the new maze runner 3 book get published? Answer:11 October 2011
"
Who was involved in the ww1 christmas truce?,"The WW1 Christmas truce involved soldiers from both the Allied and Central Powers, primarily British, German, French, and Belgian troops. The truce took place on the Western Front in December 1914.","Disambiguation 1. Question: Who was involved in the WWI Christmas truce of 2014 along the Western Front? Answer:100,000 British and German troops
Disambiguation 2. Question: Who was involved in the WWI Christmas truce of 2014 in the Comines sector of the front? Answer:German and French soldiers
Disambiguation 3. Question: Who was involved in the WWI Christmas truce of 2014 in the Eastern front? Answer:Austro-Hungarians and Russians
"
What is the name of india's first arctic research station setup?,The name of India's first Arctic research station setup is Himadri.,"Disambiguation 1. Question: What is the name of india's first permanent arctic research station setup? Answer:Himadri
Disambiguation 2. Question: What is the name of india's first underwater arctic research station setup? Answer:IndARC
"
Where is the the great pacific garbage patch located?,"The question is not ambiguous. The Great Pacific Garbage Patch is located in the North Pacific Ocean, between Hawaii and California.","Disambiguation 1. Question: Where are the coordinates of the the great pacific garbage patch located? Answer:from 135°W to 155°W and 35°N to 42°N
Disambiguation 2. Question: What part of the ocean is the the great pacific garbage patch located? Answer:north central Pacific Ocean
"
