question,answer,label,judgement
What process is triggered by heat and pressure generated from gravitational collapse of nitrogen clouds?,The fusion process triggered by heat and pressure generated from gravitational collapse of nitrogen clouds is the process of nuclear fusion.,-1,Fail.
Who gave followers of Humanism the ability to think inside the box?,"It seems that the question is based on a misunderstanding. Humanism, as a movement, encouraged followers to think outside the box and challenge traditional beliefs and practices. Gemistus Pletho, mentioned in the context, was a Greek Orthodox Platonist who taught a Christianized version of pagan polytheism, which was not necessarily thinking ""inside the box"" in the traditional sense. If you have a different question or need more information on Humanism, feel free to ask.",1,Pass.
How many international operations have Canadian military units participated in since 1947?,"Canadian military units have participated in more than 200 operations worldwide since 1947, completing 72 international operations.",-1,Fail.
What memorializes achievements for players aged 18-22?,Achievements for players aged 18-22 are memorialized in the Canadian Junior Football League and Quebec Junior Football League.,-1,Fail.
What method of transport is not available in the Republic of the Congo?,"Based on the information provided, it appears that the method of transport not available in the Republic of the Congo is a subway or underground metro system.",-1,Fail.
"The Premier league has played in 75,957 stadiums since which year?","The Premier League has played in stadiums with a total capacity of 75,957 since the 2010-11 season.",-1,Fail.
What common material was valued for the manufacturing of tools and weapons?,Steel was valued for the manufacturing of tools and weapons.,-1,Fail.
Who now organizes the Eton Choral Courses?,Ralph Allwood is the individual who now organizes the Eton Choral Courses.,-1,Fail.
What is the amount of absorption a group of atoms will show in cm?,"The amount of absorption a group of atoms will show in cm is dependent on the specific vibrational frequencies of the bonds within the molecule. Infrared vibrational spectroscopy is used to identify molecules by analyzing the absorption of photons at specific frequencies corresponding to the vibrational modes of the bonds. The absorption frequencies are typically recorded in the range of 4000–400 cm−1, with each peak corresponding to a specific bond or group of atoms within the molecule.",1,Pass.
What was the first commercial uses of non-LEDs?,"The first commercial uses of non-LEDs were as replacements for incandescent and neon indicator lamps, and in seven-segment displays. The first organization to mass-produce visible LEDs was the Monsanto Company in 1968, using gallium arsenide phosphide (GaAsP) to produce red LEDs suitable for indicators. Later, other colors became widely available and appeared in appliances and equipment. In the 1970s, commercially successful LED devices at less than five cents each were produced by Fairchild Optoelectronics.",-1,Fail.
What example of Stoic influence followed Plato's?,The example of Stoic influence that followed Plato's works in Western political philosophy is the Roman statesman Cicero.,-1,Fail.
The least common standard test configuration procedure is what?,The least common standard test configuration procedure in boundary scan testing is the Joint Test Action Group (JTAG) standard.,-1,Fail.
What book of poetry was published by John Kneubuhl in 2004?,"Tusiata Avia's first book of poetry, Wild Dogs Under My Skirt, was published by Victoria University Press in 2004.",-1,Fail.
What principle further elaborates on how fiction can change history?,"The Novikov self-consistency principle further elaborates on how fiction can change history. This principle suggests that any change made by a hypothetical future time traveler would already have happened in his or her past, resulting in the reality that the traveler moves from. This principle essentially states that history is not an unchangeable constant, but rather that any changes made are already accounted for within the timeline.",-1,Fail.
What inhibitors are used in low-risk scenarios?,"In low-risk scenarios, inhibitors such as factor Xa inhibitors or potentiators of antithrombin (fondaparinux or low molecular weight heparin) may be used.",-1,Fail.
What is the secondary theme of the Centre Room?,"The secondary theme of the Centre Room is a Chinese-style theme, enhanced by Queen Mary in the late 1920s. This theme was created in collaboration with designer Sir Charles Allom and features elements such as lacquer doors, porcelain pagodas, and other oriental furniture.",-1,Fail.
"In May 2012, ABC Music filed charged against whom?","The question is based on a misunderstanding. In May 2012, it was Sony Music, not ABC Music, that filed charges against the website IsoHunt. If you have any other questions or need clarification, feel free to ask.",1,Pass.
What did Robert Kyncl confirm in May 2014?,"Robert Kyncl confirmed in May 2014 that YouTube would block the content of labels who do not negotiate deals to be included in the paid service ""to ensure that all content on the platform is governed by its new contractual terms.""",-1,Fail.
"Before World War II, what regions remain part of Ukraine?","Northern Bukovina, Southern Bessarabia, and Hertza were the regions that remained part of Ukraine before World War II.",-1,Fail.
How many people attend the Festival of Lights each year?,"The question is not answerable based on the provided context as it does not specify which Festival of Lights is being referred to. There are multiple festivals mentioned in the context, such as the Glastonbury Festival, the Bath Literature Festival, the Frome Festival, and the Trowbridge Village Pump Festival, but none of them are specifically identified as the Festival of Lights. If you can provide more information or specify which festival you are referring to, I would be happy to help answer your question.",1,Pass.
What is the lowest temperature state in the US?,The lowest temperature state in the US is Alaska.,-1,Fail.
What took place from February 1979 to December 1989?,"From February 1979 to December 1989, the Soviet war in Afghanistan took place.",-1,Fail.
In what city is the Danforth Campus?,"The Danforth Campus is located in Clayton, Missouri.",-1,Fail.
What did the Greeks offer to the Ottoman Empire that wasn't a superb benefit ?,"The Greeks offered education, commerce, and wealth to the Ottoman Empire, which were all significant benefits.",-1,Fail.
By what year does Dell plan to put chemicals in its computers?,Dell plans to put chemicals in its computers by the end of 2011.,-1,Fail.
How many corps did the Byzantines have?,"The Byzantines had five corps: the centre, two wings, vanguards, and rearguards, following the same formation while on march or on a battle field.",-1,Fail.
What characters does multilingual processors use?,"Multilingual processors use characters from Unicode, which is designed to support a wide range of languages and scripts from around the world. Unicode allows for multilingual computer processing by providing a standardized way to represent characters from different scripts in a single encoding system.",-1,Fail.
Who's opponents packed the House of Commons?,Robert Walpole's opponents packed the House of Commons.,-1,Fail.
What does the Chief of Defense do?,"The Chief of Defense is responsible for overseeing and managing the military forces of a country. This includes making strategic decisions, coordinating military operations, and advising government officials on defense matters.",-1,Fail.
When did the partnership between Jones and Appleton start?,The partnership between Jones and Appleton started in 1825 when Appleton established a store in Sydney and Jones subsequently established a partnership with him.,-1,Fail.
In Ireland and what other country are there a large number of reptile species?,"The question is not answerable based on the provided context. The context specifically mentions that few species of reptiles are found in Great Britain or Ireland, with no native snakes in Ireland. Therefore, it is not accurate to state that there is a large number of reptile species in Ireland.",1,Pass.
When do routines begin?,"Routines begin with the gymnast performing single leg and double leg work on the pommel horse, including skills such as scissors and circling motions. The exercise becomes more challenging with variations like turning and straddling the legs. Routines end when the gymnast performs a dismount, either by swinging over the horse or landing after a handstand.",-1,Fail.
What letter of the alphabet do most of the last names the men of France end with?,"Most of the last names of men in France end with the letter ""e"".",1,Pass.
What does a common browser identify?,"A common browser identifies a resource to be retrieved over the Hypertext Transfer Protocol (HTTP) through the use of a Uniform Resource Identifier (URI) that starts with http:. Additionally, browsers support other prefixes such as https: for HTTPS, ftp: for the File Transfer Protocol, and file: for local files. If a prefix is not directly handled by the browser, it may be passed off to another application, such as mailto: URIs being passed to the user's default e-mail application.",-1,Fail.
Which article claimed if a petition was successful there was no need for a referendum?,The article that claimed if a petition was successful there was no need for a referendum is Article 29.,-1,Fail.
Which people used the ancient tools?,"The ancient tools were used by the people of St. Barts during the island's history relating to French, Swedish, and British periods of occupation. These tools are on display at the Musée Territorial de St.-Barthélemy, also known as the ""St. Barts Municipal Museum"" or the ""Wall House"" in Gustavia.",-1,Fail.
Who was wanted in connection with the 2002 Kenyan attacks?,"Saleh Ali Saleh Nabhan, a Kenyan, was wanted in connection with the 2002 Mombasa attacks.",-1,Fail.
What was a local dry cleaner found to be the main source of in 1979?,A local dry cleaner was found to be a main source of pollution in 1979 in Endicott.,-1,Fail.
The civil war lasted from 1982 to what year?,The civil war in Tajikistan lasted from 1992 to 1997.,-1,Fail.
When did the publication's choices cause confusion and incompatibility?,"The publication's choices caused confusion and incompatibility once other countries began to make their own assignments to the code points reserved for ""national use.""",1,Pass.
What cost is involved in evading a predator?,"The cost involved in evading a predator is the energetic cost associated with fleeing or defending oneself. This cost is weighed against the potential benefit of avoiding being captured and consumed by the predator. In general, predators will only seek to attack prey when the benefits of capturing and consuming the prey outweigh the costs involved in hunting. This cost-benefit analysis is a key concept in the study of animal behavior known as optimal foraging theory.",-1,Fail.
The Protestant Reformation isn't attributed to what two developments that resulted from the invention of printing?,"The Protestant Reformation is attributed to the developments of the invention of printing, which facilitated the dissemination of the printed word and democratized learning.",1,Pass.
What did Daniel Robbins say about Demoiselles being the end of Cubism?,"Daniel Robbins argued that considering the Demoiselles as the end of Cubism is unhistorical and fails to take into account the complexities of the art scene at the time. He believed that a conscious search for a new style between 1905 and 1908 led to rapid changes in art across various countries, with influences from Impressionism, Les Nabis, Symbolists, and Neo-Impressionism.",1,Pass.
How many same-sex female married couples are there?,There were 416 same-sex married couples mentioned in the context provided.,-1,Fail.
What was reduced in the medieval period?,The size of the wall circuit was reduced in the medieval period.,-1,Fail.
Foreign names are not considered what? ,Foreign names are not considered to follow the phonemic principles of Estonian orthography.,-1,Fail.
The term asphalt is often preferred by who?,Geologists often prefer the term bitumen.,1,Pass.
What kind of instruments are favored by Hylian?,"Hylian instruments are favored by Kondo, who originally envisioned using a full 50-person orchestra for action sequences and a string quartet for more ""lyrical moments"" in the game's music. However, the final product used sequenced music instead.",1,Pass.
"When you are an agnostic, what do you think doesn't exist?","When you are an agnostic, you believe that the existence of God is unknown or unknowable. Agnosticism is the view that the existence of God or gods is uncertain and cannot be proven or disproven. It is a position of skepticism towards claims about the existence of a higher power.",-1,Fail.
What happened when methods of the Iroquois Confederacy were introduced to the Ottoman Empire?,"The question is not answerable based on the provided context. The methods of the Iroquois Confederacy were not introduced to the Ottoman Empire, as the context specifically mentions that these views did not integrate into common thought until much later and there was no spread of this doctrine within the New World. The influence of the Iroquois philosophy was mainly seen in early American literature and political philosophy.",1,Pass.
Alan Shearer became the fifth British player to do what?,Alan Shearer became the fifth British player to command a transfer fee of more than £3 million.,-1,Fail.
What happened on March 30 2010?,"The question is not answerable as it pertains to a specific date (March 30, 2010) which is not mentioned in the provided context. The context discusses events related to YouTube in the months of March, May, and January, but does not mention any specific event on March 30, 2010. If you have a different question or need information on a different date, feel free to ask.",1,Pass.
Where in Beijing did the Dalai Lama's government flee?,"The Dalai Lama's government fled to Dharamsala, India.",-1,Fail.
What exist for a second in a lab?,Subatomic particles exist for only a fixed fraction of a second in a lab relatively at rest.,-1,Fail.
Who settles the dispute when the President and Vice President cannot come to an agreement for a date of adjournment?,"When the President and Vice President cannot come to an agreement for a date of adjournment, the President may settle the dispute according to the context provided.",-1,Fail.
In what month was Lincoln released?,"The movie ""Lincoln"" was set for release on April 25, 2014.",-1,Fail.
The District of Columbia is on land donated by what two states?,The District of Columbia is on land donated by the state of Maryland.,-1,Fail.
During what conflict did western universities influence madrasa?,"Western universities influenced madrasas during the Crusades conflict. This influence is seen through the well-documented influences of scholarship from the Islamic world on the universities of Western Europe, as highlighted by Lowe and Yasuhara.",-1,Fail.
What kind of properties does Coulomb's law have?,"Coulomb's law describes the electrostatic interaction between charged particles. It states that the force between two charged particles is directly proportional to the product of their charges and inversely proportional to the square of the distance between them. Coulomb's law has the property of being an inverse-square law, meaning that the force decreases as the distance between the charges increases. Additionally, Coulomb's law obeys the principle of superposition, which means that the total force on a charged particle is the vector sum of the forces from all other charged particles in the system.",-1,Fail.
What term denoted someone from the northern kingdom of Judah?,"The term that denoted someone from the northern kingdom of Judah was ""Israelite.""",-1,Fail.
Which three browsers promised to develop Metro-style versions of their browsers?,"The three browsers that promised to develop Metro-style versions of their browsers were Chrome, Firefox, and Internet Explorer.",-1,Fail.
Voiced symbols are seldom what?,"Voiced symbols are seldom actually aspirated. In the grammatical tradition of Sanskrit, aspirated consonants are called voiceless aspirated, and breathy-voiced consonants are called voiced aspirated.",1,Pass.
What is the population of Cameroon as of 2014?,The population of Cameroon as of 2014 was around 4.7 million.,-1,Fail.
Who came up with the term salvarsan?,"The term ""salvarsan"" was coined by Paul Ehrlich.",-1,Fail.
In 1976 what religious group was founded?,"In 1976, the religious group Word of God was founded in Ann Arbor.",-1,Fail.
Materialism is not frequently assimilated to what? ,Materialism is not frequently assimilated to dualism.,-1,Fail.
What did Christopher Green say of the similarities between traditional cubist and Salon Cubists?,"Christopher Green highlighted that the Salon Cubists may have developed techniques such as faceting, 'passage', and multiple perspective independently, without necessarily depending on Picasso and Braque for their development. Green suggested that these Salon Cubists could have arrived at such practices guided by their own understanding of Cézanne.",-1,Fail.
What is group law endowed with?,"Group law is endowed with the property that group operations must be continuous functions, meaning that g • h and g−1 must not vary wildly if g and h vary only a little. This ensures that the group law and the topology interweave well, leading to the concept of topological groups.",-1,Fail.
How many copies did Ghost REcon Advanced Warfighter sell in 2007?,"Ghost Recon Advanced Warfighter sold over a million copies in 2005, but the specific number of copies sold in 2007 is not provided in the context.",1,Pass.
Considerable research has been done changing what?,Considerable research has been done changing the knowledge-base and expanding the field of environmental physiology in relation to clothing.,-1,Fail.
In particle physics what should there be to preserve entropy?,"In particle physics, to preserve entropy, there should be a small counterbalancing time asymmetry. This is necessary to maintain CPT symmetry, as the violation of CP symmetry implies the need for a time asymmetry.",-1,Fail.
How often are in-house academic journals published typically?,"The frequency of publication for in-house academic journals can vary widely depending on the specific journal and institution. Some academic journals may be published quarterly, biannually, or even annually. It is recommended to check the specific journal's website or contact the institution directly for more information on the publication schedule.",1,Pass.
What is the climate description for the middle band of Namibia?,"The climate description for the middle band of Namibia would be Semi-Arid, with rainfall ranging between 300 and 500 mm.",-1,Fail.
What determines the order in which suras aren't placed in the Quran?,"The order in which suras are placed in the Quran is determined by various factors, including the length of the sura, whether it is Meccan or Medinan, and the content or theme of the sura. The suras are arranged roughly in order of decreasing size, with some exceptions. The sequence of revelation does not necessarily dictate the order in which the suras are placed in the Quran.",-1,Fail.
What is the approach on a biotechnology farm?,"On a biotechnology farm, the approach is to utilize integrated pest management strategies and labor-intensive techniques to control associated biodiversity. This approach is generally less dependent on capital, biotechnology, and energy compared to monoculture farms that rely on biologically destructive pesticides, mechanized tools, and transgenic engineering techniques.",-1,Fail.
Who managed the Bolton Wanderers during the 1995-96 season?,The Bolton Wanderers were managed by Colin Todd during the 1995-96 season.,-1,Fail.
What is the method in which videos can average a color similar to?,"The method in which videos can average a color similar to is through compression algorithms that can average a color across similar areas to reduce space, similar to those used in JPEG image compression.",-1,Fail.
What sort of customers did Selfridges least often cater to?,"Based on the context provided, it seems that Selfridges least often catered to customers who were looking for aggressive sales tactics. The staff members were trained to assist customers but not too aggressively, indicating that a more relaxed and non-pushy approach was preferred.",-1,Fail.
What typically covers an MI?,"An MI, or myocardial infarction, is typically covered under workers' compensation or other insurance schemes if it is determined to be a work-related injury. However, coverage may vary depending on the circumstances, such as if the heart attack resulted from unusual emotional stress or exertion. In some jurisdictions, heart attacks suffered by certain occupations like police officers may be classified as line-of-duty injuries. Additionally, individuals who have suffered an MI may be restricted from participating in activities that could endanger others, such as driving a car or flying an airplane.",-1,Fail.
What is more stable than the melatonin offset?,The melatonin offset is more stable than the melatonin onset.,1,Pass.
What do information resources allow to pop-up in a window?,Information resources allow pop-ups to appear in a window.,-1,Fail.
What three groups are annelids traditionally divided among?,"The annelids are traditionally divided into three groups: polychaetes, oligochaetes (which include earthworms), and hirudinomorphs (which include leeches).",-1,Fail.
Okeh Records had whom as a subsidiary?,"Okeh Records was a subsidiary of the Columbia Phonograph Company, which was acquired by ARC in 1934.",-1,Fail.
What isn't the German Empire?,"The German Empire is not a single sovereign state as per the UN definition, as the states of Germany retain the right to act on their own behalf at an international level. This condition was originally granted in exchange for the Kingdom of Bavaria's agreement to join the German Empire in 1871.",-1,Fail.
Choosing to follow comic book tradition and tropes was called what?,"Choosing to follow comic book tradition and tropes was called a ""superheroes in the real world"" approach.",-1,Fail.
What theory did Matisse say his choice of colors was based on?,"Matisse said his choice of colors was not based on scientific theory, but rather on observation, feelings, and the real nature of each experience.",1,Pass.
Who is a celebrity that the CIA has a file on?,"Some celebrities that the CIA has a file on include Elvis Presley, Frank Sinatra, John Denver, John Lennon, Jane Fonda, Groucho Marx, Charlie Chaplin, the band MC5, Lou Costello, Sonny Bono, Bob Dylan, Michael Jackson, and Mickey Mantle. These files were collected for various reasons, such as alleged ties to the Communist party, antiwar activities during the Vietnam War, or threats/extortion attempts against them.",-1,Fail.
What did Popper think the weakness of a scientific theory lay in?,"Popper believed that the weakness of a scientific theory lay in its inability to be falsified by criticism. He argued that for a theory to be considered scientific, it must be susceptible to falsification and not be immune to criticism. If a theory cannot be potentially proven false, then it is not a scientific theory according to Popper's criteria.",-1,Fail.
What year did the destruction of the church begin?,The destruction of the church did not begin in any specific year as mentioned in the context. The construction of the present church began in 1245 on the orders of King Henry III.,1,Pass.
Where was the Gustav Lindenthal Conference located?,"The Gustav Lindenthal Conference was located in Pittsburgh, as mentioned in the context where architect Alexandre Chan won the Gustav Lindenthal Medal for the Juscelino Kubitschek bridge project at the 2003 International Bridge Conference in Pittsburgh.",-1,Fail.
Who supported the unban against government aid to religious schools before 1970?,"The ban against government aid to religious schools before 1970 was supported by most Protestants (and most Jews) who opposed aid to religious schools, which were mostly Catholic at the time.",-1,Fail.
When did the first SDTV transmissions happen in Europe?,"The first SDTV transmissions in Europe happened in the mid-1990s, after the initial HDTV transmissions.",-1,Fail.
When did Friends of the Earth begin protesting Shell?,"Friends of the Earth began protesting Shell in response to the extreme environmental issues caused by the company's presence in the Niger Delta. The protests were part of a larger movement against Shell's actions in the region, which led to mass protests from the Niger-Delta inhabitants, Amnesty International, and environmental groups like Friends of the Earth Netherlands.",-1,Fail.
What is Mata o le Afi probably the result of?,"Mata o le Afi is probably the result of volcanic eruptions in Samoa, specifically in the early 20th century.",1,Pass.
What does the Rayleigh-Jeans law avoid predictions for in terms of values?,The Rayleigh-Jeans law avoids predictions for high-frequency values as temperatures increase.,-1,Fail.
"Where isn't Magasin's ""flagship"" store located? ","Magasin's ""flagship"" store is not located in Jutland.",-1,Fail.
What is one of the most recent races regarding limits of non delegation?,"One of the most recent cases regarding the limits of non-delegation is Gundy v. United States, a Supreme Court case from 2019. In this case, the Court considered whether Congress violated the non-delegation doctrine by giving the Attorney General the authority to decide whether a provision of the Sex Offender Registration and Notification Act (SORNA) should apply retroactively. The Court ultimately upheld the delegation of authority to the Attorney General, with Justice Kagan writing the opinion.",-1,Fail.
Which system indicates that the Gregorian year has been adjusted to start on January 1?,The system that indicates that the Gregorian year has been adjusted to start on January 1 is New Style (N.S.).,-1,Fail.
Which term was never used interchangeably with hard rock?,The term heavy metal was never used interchangeably with hard rock.,-1,Fail.
What is defined as any one behavior of all animals that affects the current or future behavior of another animal?,Any behavior of one animal that affects the current or future behavior of another animal is defined as animal communication.,-1,Fail.
Who can be credited with saying essentially humans are the gods of humans?,"The statement ""essentially humans are the gods of humans"" can be credited to Ji Liang as recorded in Zuo Zhuan.",-1,Fail.
Where did the Jews migrate to before the Babylonian conquest?,"Before the Babylonian conquest, the Jews migrated to Babylonia.",-1,Fail.
What was the ethnicity of the people executed in the second-smallest mass execution in US history?,The people executed in the second-smallest mass execution in US history were 13 African-American soldiers who took part in the Houston Riot of 1917.,1,Pass.
Reforms to what system increased the power of the house of uncommons?,Reforms to the voting system increased the power of the House of Commons.,-1,Fail.
When was FLNG technology created?,FLNG technology is based on liquefied natural gas (LNG) developments that were pioneered in the mid-20th century.,-1,Fail.
 Who was the author of the National Non-Labor Relations Act?,"The author of the National Labor Relations Act, also known as the Wagner Act, was U.S. Senator Robert F. Wagner of New York.",-1,Fail.
When was the October Countercurrent?,"The October Countercurrent is not mentioned in the provided context, so it is not possible to determine when it occurred. If you have any other questions or need more information, feel free to ask.",1,Pass.
What dropped world wide at the begining of the Devonian?,A global drop in sea level occurred at the beginning of the Devonian period.,-1,Fail.
What began to happen to universities in the 1500's?,"During the 1500s, universities in Europe began to see a significant amount of growth and expansion. Twenty-eight new universities were created during this time period, with another eighteen added between 1500 and 1625. This growth continued until the end of the 18th century, resulting in approximately 143 universities in Europe and Eastern Europe. This marked a substantial increase in the number of universities compared to the end of the Middle Ages.",-1,Fail.
What was written in 1897?,"The question is too broad and does not specify what was written in 1897. Without more context or details, it is not possible to provide a specific answer. If you have a more specific question or need clarification on a particular topic related to 1897, please provide more information.",1,Pass.
