question,answer,label,judgement
"What is the name of the cheese dubbed the ""world's smelliest"" set to cause a stink in UK supermarkets?","The cheese dubbed the ""world's smelliest"" is called Epoisses. It is a soft, pungent cheese from France that has a strong aroma and flavor.",-1,Fail.
Which iconic 1990s children’s toy is set to be relaunched?,The iconic 1990s children's toy set to be relaunched is the Tamagotchi virtual pet.,-1,Fail.
Newly released figures show that the amount of electricity produced by which type of renewable energy hit a record high in Britain last year?,The amount of electricity produced by wind power hit a record high in Britain last year.,-1,Fail.
West Virginia announced an $87 million settlement with which company for its role in perpetuating the opioid crisis in the state?,The company that West Virginia announced an $87 million settlement with for its role in perpetuating the opioid crisis in the state is the pharmaceutical distributor McKesson Corporation.,-1,Fail.
Which country was named the world’s happiest for the sixth year in a row?,Finland was named the world's happiest country for the sixth year in a row according to the World Happiness Report.,-1,Fail.
Syracuse men’s basketball coach Jim Boheim retired this week after 47 years at the helm. How many times did he lead his team to the Final Four?,Jim Boeheim led the Syracuse men's basketball team to the Final Four a total of five times during his tenure as head coach.,-1,Fail.
Which state said “yes” to making abortion a constitutional right?,"The state that said ""yes"" to making abortion a constitutional right is California. In 1972, the California Supreme Court ruled in the case of People v. Belous that the state's constitution provided a fundamental right to privacy that included the right to choose to have an abortion. This decision effectively made abortion a constitutional right in the state of California.",-1,Fail.
Donald Trump’s 2024 pitch includes a promise to do what?,"Donald Trump's 2024 pitch includes a promise to ""Make America Great Again... Again.""",-1,Fail.
"What is the primary time frame for the ""bed bug season""?","The primary time frame for the ""bed bug season"" is typically during the warmer months of the year, from spring to early fall. Bed bugs are more active and reproduce more quickly in warmer temperatures, so infestations tend to peak during this time. However, it is important to note that bed bugs can still be present year-round and infestations can occur at any time. It is crucial to remain vigilant and take preventive measures to avoid bringing bed bugs into your home.",-1,Fail.
Which lawmaker was ousted from his role as speaker of the US House of Representatives?,John Boehner was ousted from his role as speaker of the US House of Representatives in 2015.,-1,Fail.
What organization owned and occupied the Elwyn building before it was purchased by the Delaware Affordable Housing Group?,The Elwyn building was previously owned and occupied by the Elwyn organization before it was purchased by the Delaware Affordable Housing Group.,-1,Fail.
Which social media platform expanded its link-sharing feature this week?,"Twitter expanded its link-sharing feature this week, allowing users to share links in tweets without taking up characters in the tweet itself. This update aims to make it easier for users to share articles, blog posts, and other content with their followers.",-1,Fail.
"The Writers Guild of America, which represents many Hollywood scribes, went on strike this week. They last hit the picket lines in what year?",The Writers Guild of America last went on strike in 2007-2008.,-1,Fail.
"Hundreds of people were arrested in which country after government buildings in its capital city were attacked, vandalized and looted on Jan. 8?","The country where hundreds of people were arrested after government buildings in its capital city were attacked, vandalized, and looted on Jan. 8 is the United States of America.",-1,Fail.
Wembley Stadium celebrated what landmark event this week?,Wembley Stadium celebrated its 100th anniversary this week.,-1,Fail.
"What prompted the closure of Fordham and Dominion Brewing, one of the oldest and largest breweries in Delaware?","The closure of Fordham and Dominion Brewing in Delaware was prompted by a combination of factors, including financial challenges, increased competition in the craft beer industry, and changes in consumer preferences. Despite being one of the oldest and largest breweries in the state, the company struggled to adapt to the evolving market and ultimately made the difficult decision to cease operations.",-1,Fail.
Which football conference will Delaware be joining in 2025 after moving up to the Football Bowl Subdivision (FBS)?,Delaware will be joining the Sun Belt Conference in 2025 after moving up to the Football Bowl Subdivision (FBS).,-1,Fail.
"Which foreign leader told their party ""I, too, am human"" after taking a day off?","The foreign leader who told their party ""I, too, am human"" after taking a day off was Canadian Prime Minister Justin Trudeau.",-1,Fail.
"The Mega Millions jackpot was won in back-to-back drawings, with the winning purchased tickets in which states?",The Mega Millions jackpot was won in back-to-back drawings with the winning purchased tickets in California and Wisconsin.,-1,Fail.
Who won this year's Nobel Peace Prize?,"The 2021 Nobel Peace Prize was awarded to journalists Maria Ressa and Dmitry Muratov for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace.",-1,Fail.
Which public figure will plead guilty to federal tax charges?,"The public figure who will plead guilty to federal tax charges is former President Donald Trump's longtime chief financial officer, Allen Weisselberg.",-1,Fail.
"Which broadcaster suspended commentator Laurence Fox for making ""totally inappropriate"" comments about a female journalist?","The broadcaster that suspended commentator Laurence Fox for making ""totally inappropriate"" comments about a female journalist is Talkradio.",-1,Fail.
The total number of women on this year’s Booker Prize shortlist is fewer than the tally of male nominees who share which first name?,"The total number of women on this year's Booker Prize shortlist is fewer than the tally of male nominees who share the first name ""David.""",-1,Fail.
"How many people will get a universal basic income (UBI) of £1,600 a month in a proposed trial in England?","In the proposed trial of universal basic income (UBI) in England, approximately 100,000 people will receive £1,600 a month.",-1,Fail.
The European Space Agency wants to give which celestial body its own time zone?,The European Space Agency wants to give Mars its own time zone.,-1,Fail.
Which national holiday was celebrated this week?,"This week, the national holiday celebrated in the United States was Thanksgiving. Thanksgiving is a time for giving thanks and gathering with loved ones to enjoy a festive meal together. It is typically celebrated on the fourth Thursday of November.",-1,Fail.
What significant change has occurred in the sale of Delaware surf-fishing permits for 2024?,"In 2024, the significant change in the sale of Delaware surf-fishing permits is that they are now only available for purchase online through the Delaware State Parks website. This change was implemented to streamline the permit process and make it more convenient for surf-fishers to obtain their permits. Additionally, the online system allows for easier monitoring and enforcement of permit regulations.",-1,Fail.
Which European city is launching a “Stay Away” campaign to deter Brits from visiting?,"Amsterdam, the capital city of the Netherlands, is launching a ""Stay Away"" campaign to deter Brits from visiting.",-1,Fail.
America’s banking system was widely impacted this week by which issue?,"America's banking system was widely impacted this week by the Federal Reserve's decision to raise interest rates for the first time in over three years. This move had a significant impact on financial markets and the overall economy, leading to fluctuations in stock prices and bond yields. Additionally, the decision to raise interest rates could have implications for borrowing costs, inflation, and economic growth in the coming months.",-1,Fail.
Former president Donald Trump pleaded not guilty to how many felony counts of falsifying business records when he appeared in a New York court this week?,Former president Donald Trump pleaded not guilty to 15 felony counts of falsifying business records when he appeared in a New York court this week.,-1,Fail.
A pair of basketball shoes worn by which athlete recently became the most expensive sneakers ever to sell at auction?,The pair of basketball shoes worn by Michael Jordan recently became the most expensive sneakers ever to sell at auction.,-1,Fail.
Which country recently banned solo hiking at its national parks for safety reasons?,South Korea recently banned solo hiking at its national parks for safety reasons.,-1,Fail.
Why was the latest Panera Charged Lemonade lawsuit filed in Delaware?,"The latest Panera Charged Lemonade lawsuit was filed in Delaware because Panera Bread Company is headquartered in St. Louis, Missouri, and Delaware is a common jurisdiction for corporate legal matters due to its business-friendly laws and well-established court system. Delaware is often chosen as the jurisdiction for lawsuits involving large corporations because of its expertise in handling complex corporate legal issues.",-1,Fail.
The World Health Organization recently warned of a “huge biological risk” after a laboratory was seized by fighters in which country?,"The World Health Organization recently warned of a ""huge biological risk"" after a laboratory was seized by fighters in Ukraine.",-1,Fail.
Which public figure filed paperwork this week to run for president in 2024?,"As of this week, public figure Kanye West has filed paperwork to run for president in 2024.",-1,Fail.
The Doomsday Clock moved to how many seconds to midnight?,The Doomsday Clock moved to 100 seconds to midnight.,-1,Fail.
All these MLB teams reportedly agreed to a contract with shortstop Carlos Correa this offseason except:,The correct answer is the New York Yankees.,-1,Fail.
Which American football team was left out of the 2023 College Football Playoffs despite being undefeated this season?,"The American football team that was left out of the 2023 College Football Playoffs despite being undefeated this season was the University of Southern California (USC) Trojans. Despite their perfect record, they were not selected as one of the four teams to compete in the playoffs.",-1,Fail.
Who is now CEO of OpenAI following Sam Altman's sacking from the role last week?,The current CEO of OpenAI following Sam Altman's departure is Greg Brockman.,-1,Fail.
What is the name of the BBC's controversial new drama about Jimmy Savile?,"The name of the BBC's controversial new drama about Jimmy Savile is ""The Reckoning.""",-1,Fail.
Which country experienced a nationwide power outage this week?,The country that experienced a nationwide power outage this week was Venezuela.,-1,Fail.
What is the name of Joe Biden’s dog who is in the doghouse for repeatedly biting Secret Service agents?,The name of Joe Biden's dog who is in the doghouse for repeatedly biting Secret Service agents is Major.,-1,Fail.
Which former England international footballer-turned-manager has inspired a new play?,The former England international footballer-turned-manager who has inspired a new play is Bobby Robson.,-1,Fail.
"What addition is Capriotti's making to its legendary flagship sandwich, The Bobbie, for the first time?","Capriotti's is adding cranberry sauce to its legendary flagship sandwich, The Bobbie, for the first time.",-1,Fail.
Which state is investigating robotaxi collisions after a handful of incidents recently endangered pedestrians?,The state investigating robotaxi collisions after a handful of incidents recently endangered pedestrians is California.,-1,Fail.
"More than 100 reports of hail were recorded in the South and Upper Midwest this week amid raging storms. According to officials, some of the largest hail was the size of which item?","According to officials, some of the largest hail recorded this week was the size of golf balls.",-1,Fail.
Kylie Jenner has angered animal rights activists by wearing a dress adorned with a lion’s head that was designed by who?,Kylie Jenner angered animal rights activists by wearing a dress adorned with a lion's head that was designed by Versace.,-1,Fail.
YouTube legend MrBeast is facing criticism for doing what in his latest online stunt?,"In his latest online stunt, YouTube legend MrBeast is facing criticism for organizing a massive ""finger on the app"" challenge where participants were required to keep their finger on their phone screen for as long as possible in order to win a cash prize. Critics argue that the challenge was irresponsible and potentially harmful as it encouraged participants to stay glued to their screens for extended periods of time, leading to concerns about mental and physical health implications.",-1,Fail.
Elon Musk told advertisers fleeing his social media platform X (formerly Twitter) to do what?,"Elon Musk told advertisers fleeing his social media platform X (formerly Twitter) to ""go ahead"" and leave, as he believes in free speech and will not bow down to pressure from advertisers.",-1,Fail.
Who was criticised for saying Brits need to accept being “worse off” financially?,"The Chancellor of the Exchequer, Rishi Sunak, was criticized for saying Brits need to accept being ""worse off"" financially due to the economic impact of the COVID-19 pandemic.",-1,Fail.
ESPN apologized for airing footage during the broadcast of a game between the Miami Heat and the New York Knicks that showed what?,ESPN apologized for airing footage during the broadcast of a game between the Miami Heat and the New York Knicks that showed a graphic of a racial slur directed at Knicks point guard Jeremy Lin.,-1,Fail.
"According to internal documents reported this week, what measure is United Airlines planning to introduce this month to speed up the boarding of passengers?","According to internal documents reported this week, United Airlines is planning to introduce a new boarding process called ""premiere access"" this month to speed up the boarding of passengers. This process will allow passengers with certain elite status or who have purchased premium tickets to board the plane before other passengers.",-1,Fail.
What was the name of the country music festival where the deadliest mass shooting in American history occurred?,"The name of the country music festival where the deadliest mass shooting in American history occurred was the Route 91 Harvest Festival in Las Vegas, Nevada.",-1,Fail.
Prince Harry and Meghan’s daughter will be known by which royal title?,"Prince Harry and Meghan's daughter will not have a royal title. They have chosen not to give her a royal title, and she will be known simply as Lilibet ""Lili"" Diana Mountbatten-Windsor.",-1,Fail.
Residents in which country moved their clocks forward last weekend to Daylight Saving Time for the last time?,"Residents in the European Union moved their clocks forward last weekend to Daylight Saving Time for the last time. The European Union has decided to abolish the practice of changing the clocks twice a year, with the last transition to Daylight Saving Time taking place on March 27, 2022.",-1,Fail.
"Which Satellite TV provider was hit with a $150,000 fine for failing to properly dispose of one of its satellites in space?","DirecTV was hit with a $150,000 fine for failing to properly dispose of one of its satellites in space.",-1,Fail.
New polling data suggests that what percentage of 18- to 24-year-olds in the UK want to replace the monarchy with an elected head of state?,The new polling data suggests that 41% of 18- to 24-year-olds in the UK want to replace the monarchy with an elected head of state.,-1,Fail.
Which MLB team won the World Series this week?,The MLB team that won the World Series this week was the Atlanta Braves. They defeated the Houston Astros in the 2021 World Series to claim their first championship since 1995.,-1,Fail.
"Which member of the UK shadow cabinet branded Suella Braverman as ""out of control"" after the home secretary publicly criticised the Met Police?","Labour's shadow home secretary, Nick Thomas-Symonds, branded Suella Braverman as ""out of control"" after the home secretary publicly criticised the Met Police.",-1,Fail.
What beverage was once popular and synonymous with Juneteenth celebrations?,"The beverage that was once popular and synonymous with Juneteenth celebrations is red soda, specifically red soda water or red pop. This carbonated drink, often flavored with fruit extracts like cherry or strawberry, has historical significance in African American culture and was commonly served at Juneteenth gatherings as a symbol of freedom and celebration.",-1,Fail.
Latest analysis by Reporters Without Borders (RSF) found that which country ranks lowest for press freedom?,North Korea ranks lowest for press freedom according to the latest analysis by Reporters Without Borders (RSF).,-1,Fail.
"Taylor Swift and Beyoncé dominated the entertainment headlines, thanks to their blockbuster worldwide tours and concert films released in theaters. Beyoncé also set a record for the most Grammy Awards. How many has she won?",Beyoncé has won a total of 28 Grammy Awards throughout her career.,-1,Fail.
