question,answer,label,judgement
What process is triggered by heat and pressure generated from gravitational collapse of nitrogen clouds?,The process triggered by heat and pressure generated from gravitational collapse of nitrogen clouds is nuclear fusion.,-1,Fail.
Who gave followers of Humanism the ability to think inside the box?,The Renaissance Church authorities gave followers of Humanism the ability to think inside the box.,-1,Fail.
How many international operations have Canadian military units participated in since 1947?,Canadian military units have participated in more than 200 international operations since 1947.,-1,Fail.
What memorializes achievements for players aged 18-22?,"Achievements for players aged 18-22 are memorialized through leagues such as the Canadian Junior Football League and Quebec Junior Football League, as well as competitions like the Vanier Cup in Canadian Interuniversity Sport. Additionally, the Canadian Football Hall of Fame recognizes great achievements in Canadian football at all levels.",-1,Fail.
What method of transport is not available in the Republic of the Congo?,One method of transport that is not available in the Republic of the Congo is a subway or underground metro system.,-1,Fail.
"The Premier league has played in 75,957 stadiums since which year?","The Premier League has played in 75,957 stadiums since the year 2010.",-1,Fail.
What common material was valued for the manufacturing of tools and weapons?,Steel was the common material valued for the manufacturing of tools and weapons.,-1,Fail.
Who now organizes the Eton Choral Courses?,The Eton Choral Courses are now organized by Ralph Allwood.,-1,Fail.
What is the amount of absorption a group of atoms will show in cm?,"The amount of absorption a group of atoms will show in cm is typically measured in terms of wavenumbers, which is the reciprocal of wavelength and is expressed in units of cm^-1.",-1,Fail.
What was the first commercial uses of non-LEDs?,"The first commercial uses of non-LEDs were as replacements for incandescent and neon indicator lamps, as well as in seven-segment displays in expensive equipment such as laboratory and electronics test equipment. Later, they were used in appliances such as TVs, radios, telephones, calculators, and watches.",-1,Fail.
What example of Stoic influence followed Plato's?,"An example of Stoic influence that followed Plato's would be the Roman statesman Cicero, who was heavily influenced by Stoic philosophy in his political writings and speeches. Cicero's works, such as ""On Duties"" and ""On the Republic,"" reflect Stoic principles of justice, virtue, and the importance of duty in political life. Cicero's blending of Stoic philosophy with Roman political thought had a lasting impact on Western political philosophy.",-1,Fail.
The least common standard test configuration procedure is what?,"The least common standard test configuration procedure is the IEEE 1149.7 standard, which is an extension of the JTAG standard.",-1,Fail.
What book of poetry was published by John Kneubuhl in 2004?,"Tusiata Avia's first book of poetry ""Wild Dogs Under My Skirt"" was published by Victoria University Press in 2004.",-1,Fail.
What principle further elaborates on how fiction can change history?,"The Novikov self-consistency principle further elaborates on how fiction can change history by proposing that any actions taken by a time traveler in the past would already be a part of the timeline, ensuring that no paradoxes can occur. This principle suggests that history is a closed loop where events are predetermined and any attempts to change them would ultimately fail or result in the same outcome. This concept allows for the possibility of fictional stories involving time travel to explore the consequences of altering the past without creating inconsistencies or paradoxes.",-1,Fail.
What inhibitors are used in low-risk scenarios?,"In low-risk scenarios, inhibitors such as factor Xa inhibitors (e.g., fondaparinux) or antithrombin potentiators (e.g., low molecular weight heparin) may be used.",-1,Fail.
What is the secondary theme of the Centre Room?,"The secondary theme of the Centre Room is Chinese-style decor, as it is part of the overall Chinese theme that Queen Mary and Sir Charles Allom created in the late 1920s.",-1,Fail.
"In May 2012, ABC Music filed charged against whom?","In May 2012, Sony Music filed charges against the website IsoHunt.",-1,Fail.
What did Robert Kyncl confirm in May 2014?,Robert Kyncl confirmed that YouTube would block the content of labels who do not negotiate deals to be included in the paid service in order to ensure that all content on the platform is governed by its new contractual terms.,-1,Fail.
"Before World War II, what regions remain part of Ukraine?","Before World War II, Northern Bukovina, Southern Bessarabia, and Hertza remained part of Ukraine.",-1,Fail.
How many people attend the Festival of Lights each year?,The Festival of Lights in Europe is the largest in Europe and attracts a significant number of attendees each year.,-1,Fail.
What is the lowest temperature state in the US?,"Hawaii is the lowest temperature state in the US, with an average daily temperature of 70.7 °F (21.5 °C).",-1,Fail.
What took place from February 1979 to December 1989?,The Soviet war in Afghanistan took place from February 1979 to December 1989.,-1,Fail.
In what city is the Danforth Campus?,"The Danforth Campus is located in St. Louis, Missouri.",-1,Fail.
What did the Greeks offer to the Ottoman Empire that wasn't a superb benefit ?,"One thing that the Greeks offered to the Ottoman Empire that wasn't a superb benefit was their desire for independence and autonomy. This ultimately led to the Greek War of Independence in 1821, which resulted in the Greeks breaking away from Ottoman rule. While this desire for independence was understandable and important for the Greek people, it was not seen as a benefit by the Ottoman Empire.",1,Pass.
By what year does Dell plan to put chemicals in its computers?,Dell plans to remove toxic polyvinyl chloride (PVC) and brominated flame retardants (BFRs) from its computing products by the end of 2011.,1,Pass.
How many corps did the Byzantines have?,The Byzantines had five corps in their army.,-1,Fail.
What characters does multilingual processors use?,"Multilingual processors use characters from a wide range of scripts, including Latin, Cyrillic, Arabic, Chinese, Japanese, Korean, and many others. Unicode allows for the representation of characters from virtually all writing systems used in the world today.",-1,Fail.
Who's opponents packed the House of Commons?,Robert Walpole's opponents packed the House of Commons.,-1,Fail.
What does the Chief of Defense do?,The Chief of Defense is responsible for overseeing and coordinating the military operations and activities of the armed forces. They provide strategic military advice to the government and work closely with the Minister of Defense to ensure the defense policies and objectives are being met. The Chief of Defense also plays a key role in managing and developing the military capabilities of the armed forces.,-1,Fail.
When did the partnership between Jones and Appleton start?,The partnership between Jones and Appleton started in 1825 when Appleton established a store in Sydney.,-1,Fail.
In Ireland and what other country are there a large number of reptile species?,Australia is another country with a large number of reptile species.,-1,Fail.
When do routines begin?,Routines typically begin with the gymnast mounting the pommel horse and starting their series of skills and movements.,-1,Fail.
What letter of the alphabet do most of the last names the men of France end with?,"Most of the last names of men in France end with the letter ""e.""",1,Pass.
What does a common browser identify?,"A common browser identifies the Uniform Resource Locator (URL) entered by the user, interprets the Uniform Resource Identifier (URI) within the URL, and retrieves the specified resource over the appropriate protocol (such as HTTP, HTTPS, FTP, or file). It may also handle certain prefixes directly or pass them off to other applications for processing.",-1,Fail.
Which article claimed if a petition was successful there was no need for a referendum?,"Article 29 claimed that if a petition was successful, there was no need for a referendum.",-1,Fail.
Which people used the ancient tools?,"The ancient tools were likely used by the early inhabitants of St. Barthélemy, such as the indigenous Arawak people or later settlers from Europe.",-1,Fail.
Who was wanted in connection with the 2002 Kenyan attacks?,Saleh Ali Saleh Nabhan was wanted in connection with the 2002 Kenyan attacks.,-1,Fail.
What was a local dry cleaner found to be the main source of in 1979?,A local dry cleaner was found to be the main source of pollution in 1979.,-1,Fail.
The civil war lasted from 1982 to what year?,The civil war in Tajikistan lasted from 1992 to 1997.,-1,Fail.
When did the publication's choices cause confusion and incompatibility?,"The publication's choices caused confusion and incompatibility when other countries began to make their own assignments to the code points reserved for ""national use"" characters, as ASCII's choices were seen as de facto standards for the world during the four-year gap between ASCII-1963 and ISO's acceptance of an international recommendation in 1967.",-1,Fail.
What cost is involved in evading a predator?,"The cost involved in evading a predator includes the expenditure of energy, potential injury or death, and the diversion of resources from other essential activities such as foraging or reproduction. Additionally, the stress and fear associated with being hunted can have negative impacts on an animal's health and well-being.",-1,Fail.
The Protestant Reformation isn't attributed to what two developments that resulted from the invention of printing?,The Protestant Reformation is not attributed to the influx of classical ideas and the era of discovery that resulted from the invention of printing.,-1,Fail.
What did Daniel Robbins say about Demoiselles being the end of Cubism?,Daniel Robbins said that regarding the Demoiselles as the end of Cubism is an unhistorical deduction and fails to consider the complexities of the flourishing art scene that existed before and during the development of Picasso's new painting.,1,Pass.
How many same-sex female married couples are there?,There were 416 same-sex married couples in the given data.,-1,Fail.
What was reduced in the medieval period?,The sea-side wall was reduced in the medieval period.,-1,Fail.
Foreign names are not considered what? ,Foreign names are not considered phonemic in Estonian orthography.,-1,Fail.
The term asphalt is often preferred by who?,Geologists often prefer the term bitumen.,1,Pass.
What kind of instruments are favored by Hylian?,"Hylian favor instruments such as string quartets for more ""lyrical moments"" and orchestras for action sequences.",-1,Fail.
"When you are an agnostic, what do you think doesn't exist?","As an agnostic, I do not necessarily believe that anything specific does not exist. Agnosticism is the belief that the existence of God or a higher power is unknown or unknowable. Therefore, as an agnostic, I do not claim to know whether or not God exists, and I remain open to the possibility of the existence of a higher power.",1,Pass.
What happened when methods of the Iroquois Confederacy were introduced to the Ottoman Empire?,"When methods of the Iroquois Confederacy were introduced to the Ottoman Empire, they did not have a significant impact or influence on the society or governance of the empire. The Ottoman Empire had its own established systems of governance, culture, and traditions that were not easily swayed by outside influences. The Iroquois philosophy and methods were not widely adopted or integrated into Ottoman society, and the impact of their introduction was minimal compared to their influence in other regions, such as the United States.",-1,Fail.
